,0,1,2,3
0,AEON Bandaraya Melaka," F39 & F40, Aras 1, Bangunan AEON JUSCO Bandaraya, No. 2, Jalan Lagenda, Taman 1 Lagenda, 75450 Melaka",06-283 1789,Pn.Kamariah Binti Abu Kassim
1,Alor Gajah," JKR 2121, Jalan Besar, 78000 Alor Gajah",06-556 1213,Pn.Norzuraini Binti Othman
2,Asahan," JKR 1866/1866-1, Jalan Besar, 77100 Asahan",06-523 6013,En.Hairul Anuar Bin Yahya
3,Ayer Keroh," Jalan Lebuhraya, Ayer Keroh, 75450 Melaka",06-232 4454,En.Othman Hassan
4,Ayer Molek," 7C, Jalan Ayer Molek, Rumah Awam Ayer Molek, 75460 Melaka",06-267 2664,FAUZIAH MOHAMAD
5,Batang Melaka," Lot 3964, Jalan Besar, 73300 Batang Melaka",06-446 2821,En.Amin Bin Ahmad
6,Batu Berendam," No. 19, Jalan Kanan 1, Taman Cergas, Batu Berendam, 75350 Melaka",06-317 1471,Pn. Hanizam Binti Mohamed
7,Bemban ," JKR 1724, Pekan Bemban, 77200 Bemban",06-521 7749,En.Mohd Zulfakar Rosman
8,Durian Tunggal," JKR 3085A-B, Jalan Besar, 76100 Durian Tunggal",06-553 1013,Pn.Nor Aszilah Binti Mohd Yusof
9,EziBox@BHP Ayer Keroh," BHP Ayer Keroh, Taman Ayer Keroh Heights, 75450 Melaka",-,-
10,EziBox@POJasin," JKR3671, Jalan Besar, 77000 Jasin, Melaka, Kampung Jasin Hilir, 77000 Jasin, Malacca",-,-
11,GPO   Melaka," Bukit Baru, 75670 Melaka",06-282 0725,Pn. Faridah Binti Haji Mahat
12,Jalan Laksamana," Jalan Laksamana, 75000 Melaka",06-284 8440,Pn.Ramayee A/P Karuppanan
13,Jasin," JKR 3671, Jalan Besar, 77000 Jasin",06-529 1213,Pn.Suhaila Binti Ibrahim
14,Jusco Melaka," F25, Tingkat 1, Jusco Shopping Centre, 75450 Melaka",06-251 9707,Shazlina Binti Borhan
15,Kuala Sungai Baru," JKR 3599, Jalan Besar, 78200 Kuala Sungai Baru",06-387 6104,Pn.Razian Binti Ab Rahim
16,Lubok China," JKR 3073A-B, Jalan Besar, 78100 Lubok China",06-696 6263,En.Muhammad Faizal Bin Mohd Yusof
17,Masjid Tanah," JKR 2880, Jalan Besar, 78300 Masjid Tanah",06-384 1213,Pn.Zahariahti Binti Abd Malik
18,Merlimau," No. 160, Jalan Batu Gajah, 77300 Merlimau",06-263 1213,Pn.Noriah Binti Abu Kassim
19,Padang Temu," No. 80, Jalan PJ 18, Taman Pertam Jaya, 75050 Padang Temu",06-282 1170,Pn.Arfah Kamaruddin
20,Pos Bergerak Melaka, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Melaka boleh email kepada pc.powmlk@pos.com.my atau uopmelaka@pos.com.my,017-215 1679,En.Md Saad Bin Ma’min
21,POSLAJU MELAKA," Jalan Tun Fatimah, Pasir Putih, 75350 Bachang ,Melaka",06 - 336 3560,Anuar Bin Samat
22,Selandar," Jalan Bukit Sedanan, Pekan Selandar, 77500 Selandar",06-525 1223,Rajuna Binti Abd.Rahman
23,Sungai Rambai," JKR 3600, Pekan Sungai Rambai, 77400 Sungai Rambai",06-265 9530,En.Abdull Jabar Bin Baharom
24,Sungai Udang," Sungai Udang, 76300 Sungai Udang",06-351 2031,Pn.Normah Binti Hassan
25,Taman Melaka Raya," 647, Taman Melaka Raya, 75000 Melaka",06-281 6048,Pn.Nurul Azura Binti Othman
26,Tanjong Kling," JKR 966A, Jalan Tanjong Kling, 76400 Tanjong Kling",06-351 1233,Pn. Rosiah Binti Seran
27,Telok Mas," No. 16, Jalan Seri Emas 5, Taman Telok Mas, 75460 Telok Mas",06-261 7514,En.Nazrul Miswan Hamid
28,Tengkera," 100Q, Jalan Kesidang 2/24A, Taman Kesidang Seksyen 2, Lorong Pandan, 75200 Melaka",06-337 6845,Pn.Nafsiah Binti Husin
29,Tesco Cheng," Pejabat Pos Tesco Cheng, Lot G17, Ground Floor, Tesco Melaka Cheng 1, Jalan Inang 3, Taman Paya Rumput Utama, 76450 Melaka.",06-333 8110 ,Pn.Nor Binti Taib
30,Universiti Multimedia," R001, Plaza Siswa Multimedia Universiti, Jalan Ayer Keroh Lama, 75450 Melaka",06-252 3609,En.Muhammad Ikhsan Bin Roslan
31,UTC Melaka," Aras 3, Pusat Tranformasi Bandar, Jalan Hang Tuah, 75300 Melaka",06-281 9930,En.Thein Chin
