,0,1,2,3
0,Air Putih," JKR 919, Pekan Air Putih, 24050 Cukai",09-850 3150,Ahmad Fairuz Bin Isa @ Ghazali
1,Ajil," JKR 236, Jalan Kuala Berang, 21800 Ajil",09-6863031,Pn. Eleeza Binti Abd Wahab
2,Al Muktafi Billah Shah," Bangunan Ketengah, Bandar Al Muktafi Billah Shah, 23400 Al Muktafi Billah Shah",09-822 3350,En. Mohd Tajul Zaman Bin Tajuddin
3,Bukit Besi," Lot 3368, Jalan Utama, 23200 Bukit Besi",09-8337030,En. Ahmad Farhanuddin Bin Sulaiman
4,Bukit Payong," JKR 607, Jalan Kuala Berang, 21400 Bukit Payong",09-619 2845,En. Mohd Parid Che Harun
5,Chabang Tiga," JKR 525, Jalan Hiliran, 21000 Kuala Terengganu",09-630 1849,En. Mohd Sharifuddin Bin Ibrahim
6,Chalok," JKR (P) 327, Kampung Rahmat, Chalok, 21450 Kuala Terengganu",09-609 7571,Ahmad Hisyamuddin Bakri Bin Abdullah
7,Chukai," JKR 280, Jalan Masjid, 24000 Chukai",09-850 2014,Nor Azizi bin Ayub
8,Dungun," JKR 911, Jalan Merbok, 23000 Dungun",09-8423510,Solehah bt Sulong @ Abd Jalil
9,EziBox@POChukai Jln Masjid," JKR 280, Jln  Masjid, Kampung Dusun Nyior, Kemaman, Terengganu",-,-
10,EziBox@POKuala Berang," Jln  Besar, Kampung Rahmat, 21700 Kuala Berang, Terengganu",-,-
11,Giant Kuala Terengganu," Lot PT 1485, Jalan Padang Hiliran, 21000 Kuala Terengganu",09-630 1854,En. Mohd Izharuddin Bin Ismail
12,Gong Kapas," JKR 516, Jalan Sultan Mohamad, 21100 Kuala Terengganu",09-6301848,Pn. Naemah Binti Yusof
13,GPO  Kuala Terengganu," JKR 445, Jalan Sultan Zainal Abidin, 20670 Kuala Terengganu",09-6301841   09-6301842,TN. SHARIFAH LAILI SYAD ABDULLAH
14,Jerteh," JKR 231, Jalan Pasir Akar, 22000 Jerteh",09-690 255809-690 2559,Pn. Tuan Sapinah Binti Tuan Ismail
15,Kampong Raja (Besut)," JKR 240, Jalan Besar, Padang Kandis, 22200 Kampung Raja",09-6955337,TUAN SAPINAH BT TUAN ISMAIL
16,Kemasek," JKR 510, Jalan Besar, 24200 Kemasek",09-866 2331,Mohd Naza Bin Abd Rashid
17,Kerteh," JKR 359, Jalan Telaga Papan, 24300 Kerteh",09-8260521,JOHAIRI BIN MOHD
18,Ketengah Jaya," JKR 702, Jalan 1/20, Bandar Ketengah Jaya, 23300 Ketengah Jaya",09-820 8130,Mohd Fadzli bin Mohamad
19,Kijal," JKR 509, Jalan Besar, 24200 Kijal",09-859 9251,MOHD KHALEK BIN CHE MAT
20,Kuala Berang," JKR 264, Jalan Besar, 21700 Kuala Berang",09-682 5311,Rohhayati binti Adam
21,Kuala Besut," JKR 840, Jalan Semarak, 22300 Kuala Besut",09-6902174,JAWIAH BT A. RAZAK
22,Manir," JKR 569, Jalan Kelantan, Manir, 21200 Kuala Terengganu",09-615 2992,ROHANI BT MAT ZAIN
23,Marang," JKR (P) 93, Jalan Besar, 21600 Marang",09-618 3122,Wan Nor Aizam Binti Wan Mohamad
24,Paka," JKR 439, Jalan Dungun, 23100 Paka",09-828 6931,Khairul Anuar Bin Osman
25,Pekan Batu Enam," Lot PT 9008K, Bangunan Maidam, Pekan Batu Enam, 21200 Kuala Terengganu",09-662 6415,Cik. Malawati Binti Mohamad
26,Permaisuri," JKR B-771, Bandar Permaisuri, 22100 Permaisuri",09-609 2211,En. Mohd Afizie Azwarie Bin Mat Noor
27,Pos Bergerak Kuala Terengganu, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Kuala Terengganu boleh email kepada pc.powkterg@pos.com.my atau uoptrg@pos.com.my,019-9612613,En. Ahamd Sirajul Fahmi Bin Ramli
28,POSLAJU CHUKAI," Lot  No. PT10715, Taman Chukai Utama, Fasa 4, Kemaman , 24000 Terengganu",09-858 9300,Wan Siti Nor Binti Wan Ahmad
29,POSLAJU DUNGUN," T.P 16968, Jalan Baru Pak Sabah, 23000 Dungun, Terengganu",09 – 844 1953,Abd. Aziz Bin Ismail
30,POSLAJU JERTEH," Lot 146, Jalan Pasir Akar, 22000 Jerteh, Terengganu",09-690 4232,Kamarudin bin Mohd Nor
31,POSLAJU KUALA TERENGGANU," No. 3043 - C Jalan Sultan Omar, 20300 Kuala Terengganu, Terengganu Darul Iman",09-631 7845,Mohd Zawawi bin Abdullah
32,POSLAJU SHAH ALAM (GLENMARIE)," No. 3, Jalan Pendidik U1/31, Hicom Glenmarie Industrial Park, 40150 Shah Alam, Selangor Darul Ehsan",03 – 5569 8155,Mohd Azrin Bin Abd Rashid
33,Seberang Takir," JKR 515, Jalan Fikri, 21300 Kuala Terengganu",09-662 6220,Pn. Mazatul Noor Ain Binti Mohamad
34,Sungai Tong," JKR 612, Pekan Sungai Tong, 21500 Kuala Terengganu",09-657 2655,Pn. Rohaizah Binti Awang
35,Wakaf Tengah," JKR 608, Pekan Wakaf Tengah, 21300 Kuala Terengganu",09-669 5255,Pn. Rahayu Binti Ab.Hamid
