,0,1,2,3
0,Air Tawar," JKR 151, Jalan Besar, 32400 Ayer Tawar",05-672 2049,Suzani Bin Haji Mazlan
1,Bagan Datoh," JKR 887, Jalan Besar, 36100 Bagan Datoh",05-646 6220,JAMALIAH SHAHARI
2,Bagan Serai," JKR 218, Jalan Besar, 34300 Bagan Serai",05-721 1555,AIZAN ABU OSMAN
3,Batu Gajah," JKR 60A, Jalan Pejabat Pos, 31000 Batu Gajah",05-366 1220,Pn.Noraini Binti Ulu
4,Batu Kurau," JKR 137, Jalan Besar, 34500 Batu Kurau",05-888 0251,AZLINDA ABULLAH
5,Behrang Stesen ," JKR 240, Behrang Stesen, 35450 Behrang Stesen",05-454 1721,NURUL HUDA RAMLI
6,Bercham," No. 29, Persiaran Bercham 10, Taman Desa Kencana, 31400 Bercham",05-548 5134,LATIFAH ABDUL GHANI
7,Bidor," JKR 124, Jalan Besar, 35500 Bidor",05-434 1060,MOHD AZUAN BIN  LOP
8,Bota," JKR 227, Jalan Besar, 32600 Bota",05-376 1263,ROSNIDA ABDUL RASHID
9,Brinchang," JKR 646, Jalan Besar, 39100 Brinchang",05-491 1016,En.Abdul Rasyid Bin Bahari
10,Bruas," JKR 31, Jalan Besar, 37200 Bruas",05-674 9275,NORREMI MOHAMAD ARIFFIN
11,Changkat Jering," JKR 214, Jalan Besar, 34850 Changkat Jering",05-855 1920,AIMI HAZWANI BT MOKHTAR
12,Chemor," No. 4 & 6, Laluan Chemor Sinaran, Desa Sinaran, 31200 Chemor",05-201 1220,SUMATHI A/P VYAHOORI
13,Chenderong Balai," JKR 888, Jalan Teluk Intan, 36600 Chenderong Balai",05-651 1201,KHILMIAH SAMSUL ARIFFIN AL HAJ
14,Enggor," JKR SS 357, 33600 Enggor",05-757 6119,MEOR ZUBAIRI MEOR AMRUN
15,EziBox@Petronas Changkat Jong," Petronas jalan changkat jong teluk intan, 36000, Jalan Changkat Jong, 36000 Teluk Intan, Perak",-,-
16,EziBox@Petronas Jelapang 1," Jalan Jelapang, Jelapang, 30020 Ipoh, Perak",-,-
17,EziBox@Petronas Jln Gopeng 1," Petronas Jalan Gopeng 1, Jalan Raja Dr. Nazrin Shah, 31350 Ipoh, Perak",-,-
18,EziBox@Petronas Jln Raja Dihilir," Petronas, 87409, Jalan Sultan Azlan Shah Utara, Taman Canning, 31400 Ipoh, Perak",-,-
19,EziBox@Petronas Jln Tun Abdul Razak," Lot 15620, Jalan Tun Abdul Razak, Ipoh, 30100, Perak Ipoh",-,-
20,EziBox@Petronas Sunway Tambun ," Jalan Darul Johan, Sunway City Ipoh, 31400 Ipoh, Negeri Perak",-,-
21,EziBox@Petronas Tmn Pengkalan Jaya," Lot 146138, PT 89905, Taman Pengkalan Jaya,  31650 Ipoh Perak",-,-
22,EziBox@Petronas UTP Tronoh," Petronas UTP Universiti Teknologi Petronas 307, ILE 31750 Tronoh Perak",-,-
23,EziBox@PO Aeon BiG Falim," Lot No.G20, Aeon Midtown Falim Shopping Centre, 1 Hala Falim 6, Taman Mas Jaya, 30200 Ipoh, Perak.",-,-
24,EziBox@POBagan Datuk," JKR 887, Jln  Besar, 36100 Bagan Datoh, Negeri Perak",-,-
25,Gerik," JKR 17, Berkeley Square, 33300 Gerik",05-791 2200,MOHD NAWAWI SHAMSUDIN
26,Gopeng," JKR 34, Jalan Kaylang, 31600 Gopeng",05-359 1220,NOREHA ABDUL MALEK
27,GPO  Ipoh," JKR 5120, Jalan Panglima Bukit Gantang, 30670 Ipoh, Perak.",05-254 6555,KARAMJIT KAUR A/P HAKAM SINGH
28,Hutan Melintang," JKR 2, Jalan Teluk Intan, 36400 Hutan Melintang",05-641 1220,Pn.Zaliana Asnie Binti Zainol Abidin
29,Jalan Chamberlain," JKR 3632, Jalan Chamberlain, 30250 Ipoh",05-254 4116,NUR SYAFIQAH HEW ABDULLAH
30,Jalan Dato Onn Jaafar," JKR 4829, Jalan Dato Onn Jaafar, 30300 Ipoh",05-253 7555,SALINA KASSIM
31,Jalan Pasir Puteh," 252, Jalan Pasir Puteh, 31650 Ipoh",05-321 7109,En.Mohd Hafizul Akmal Bin Jamaluddin
32,Jeram," JKR 304, 31850 Jeram",05-465 4220,KHAIRUL AZHIMI BIN MUHAMMAD SIDIK
33,Kampar," JKR 10, Jalan Pejabat Pos, 31900 Kampar",05-466 0641,MOHD YUSMI AL RIDZUAN BIN MD. YUSOF
34,Kampong Gajah," JKR 506, Pekan Kampong Gajah, 36800 Kampung Gajah",05-631 1336,Pn.Fashehah Binti Mukhtar
35,Kampong Koh," N-115B, Jalan Besar, Kampong Koh, 32000 Sitiawan",05-691 1885,Cik. Rozilawati Binti Abd Wahab
36,Kampung Kepayang," No. 730, Taman Candan Desa, 31300 Ipoh",05-357 1220,NURSYAHIDA BT JAMALOL HABI
37,Kampung Rapat," No. 9 & 9A, Medan Gopeng 3, 30010 Ipoh",05-312 5752,SAIDATUL LINDA SULAIMAN
38,Kampung Tawas," JKR 5188, Jalan Kuala Kangsar, 30010 Ipoh",05-547 3444,NUR LIZA BT ROZALI
39,Kamunting," JKR 186, Jalan All Saint, 34600 Kamunting",05-808 1555,Pn. Saidatul Akma Binti Zainun
40,Kuala Kangsar," JKR 40, Jalan Petani, 33000 Kuala Kangsar",05-776 4555,En.Zulkarnain Amran Bin Zainuddin
41,Kuala Kurau," JKR 983, Jalan Tanjong Piandang, 34350 Kuala Kurau",05-727 7001,ROZITA BT SUAD
42,Kuala Sepetang," JKR 160, Jalan Besar, 34650 Kuala Sepetang",05-858 1120,FAKHRUDDIN BIN IBRAHIM
43,Lambor Kanan," Bt. 17 1/4, 32900 Lambor Kanan",05-376 1621,MUHAMMAD OSMAN B. RAMLI
44,Langkap," JKR 158, Jalan Changkat Jong, 36700 Langkap",05-659 1220,Suzana Bt Mohd Hasin
45,Lenggong," JKR 117, Jalan Besar, 33400 Lenggong",05-767 7201,NORAZILA TARUSEMAN
46,Lumut," JKR 16F, Lloyld Street, 32200 Lumut",05-683 5268,Pn. Hasida Binti Rahya
47,Malim Nawar," JKR 154, Jalan Besar, 31700 Malim Nawar",05-477 1220,MOHD AZRIN BIN MOHD ADAM
48,Mambang Di Awan," JKR 650, Jalan Kampar, 31950 Mambang Di Awan",05-466 1068,NURUL AIN BT REZALI @ ABDUL SUKOR
49,Manong," JKR 991, Jalan Besar, 33800 Manong",05-743 0229,Pn.Delianawati Binti Abu Bakar
50,Menglembu," JKR 41, Jalan Besar, 31450 Menglembu",05-281 2420,SALDI IBRAHIM
51,Padang Rengas," JKR 282, Jalan Besar, 33700 Padang Rengas",05-758 4103,MUHAMMAD NOOR BIN AHMAD
52,Pangkor," JKR D239F, Jalan Pasir Bogak, 32300 Pangkor",05-685 1281,AZILA MAT HUSIN
53,Pantai Remis," JKR 284, Jalan Besar, 34900 Pantai Remis",05-677 1205,SALWATI MUSTAFFA
54,Parit," JKR 41, Jalan Pejabat Pos, 32800 Parit",05-377 1220,Pn.Shahida Binti Isa
55,Parit Buntar," JKR 32-34, Jalan Stesyen, 34200 Parit Buntar",05-716 2555,CHE HARESON ASRI
56,Pengkalan Hulu," JKR 13, Jalan Iskandar, 33100 Pengkalan Hulu",05-477 8216,REDZUAN MOHD BAKRI
57,"Pengkalan TLDM, Lumut"," Pengkalan TLDM, 32100 Lumut",05-683 5549,NUR FAEZAH BT ZAKARIA
58,Pokok Assam," JKR 2095, Pokok Assam, 34000 Taiping",05-808 9432,RADZIAH ABDUL KADIR
59,Pos Bergerak  Ipoh, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Perak boleh email kepada pc.powperak@pos.com.my atau uopperak@pos.com.my,013-465 1283,AWAL LUDDIN AHMAD DARBI
60,POSLAJU IPOH," Bangunan Perniagaan Melayu Negeri Perak, 11 Lot PT 138197, Jalan Panglima Bukit Gantang Wahab, 30000 Ipoh,  Perak",05-255 3155,Mohd Hafiz Fouzi
61,POSLAJU KUALA KANGSAR," No. 8H & 8I, Jalan Daeng Selili, 33000 Kuala Kangsar, Perak",05-776 1451,Muhammad Fadzli Bin Johari
62,POSLAJU SITIAWAN," No. 5 & 6, Tingkat Bawah, Wisma Tian Siang, Jalan Datuk Ahmad Yunus, 32000 Sitiawan , Perak",05-691 9755,Megat Ahmad Shahuari
63,POSLAJU TAIPING," No.49 & 51 Grd Floor, Jalan Stesen, 34000 Taiping, Perak",05-805 7153,Izan Salwahana Yaacob
64,POSLAJU TANJUNG MALIM," No.2A & No.6, Tkt. Bawah, Jalan Tanjung Utama, 35900 Tanjung Malim, Perak",05 - 458 1398,Ibrahim B Abdullah
65,POSLAJU TAPAH," No 53 & 54, Tingkat Bawah, Jalan Badlwin 2, Pusat Perniagaan Baldwin, 35000, Tapah, Perak",05-4011108,Abd Latif Bin Md Nor
66,POSLAJU TELUK INTAN," No. 132 Jalan Intan 5, Bandar Baru, 36000 Teluk Intan, Perak",05-625 1200,Noor Azizah Tohid
67,Proton City," No. 5-1, Wisma Avenue, Jalan Kempas 3A, PC19 Proton City, 35900 Tanjung Malim",05-458 1705,ZARIPAH ABDULLAH HASHIM
68,Pusing," JKR 464, Jalan Besar, 31550 Pusing",05-288 1220,SINAR YAHYA
69,Rantau Panjang," JKR 433, Jalan Selama, 34140 Rantau Panjang",05-839 4885,MUHAMMAD HAFIZ BIN MUHAMAD MOKHTAR
70,Ringlet," JKR 314, Jalan Besar, 39200 Ringlet",05-495 6067,SAIFUL ASRIY SABARUDIN
71,Sauk," JKR 1159, Jalan Besar, 33500 Sauk",05-751 1221,MOHD ZAINAL BIN ISHAK
72,Selama," JKR 303, Jalan Menteri, 31400 Selama",05-839 4021,SITI FAUZIAN BT WAN DAUD
73,Selekoh," JKR 3584, Jalan Bagan Datoh, 36200 Selekoh",05-648 9268,En. Mohd Ibrahim Yaacob
74,Simpang," JKR (P) 107, Jalan Kuala Kangsar, 34700 Simpang",05-847 1020,KAMARUL HAFFIRI ABDUL AZIZ
75,Simpang Ampat Semenggol," JKR 1053, Jalan Besar, 34400 Simpang Semanggol",05-890 1029,AZRIL RIZAL BIN ANUAR
76,Sitiawan," JKR 40, Jalan Bruas, 32000 Sitiawan",05-691 1187,SADIAH BAHAROM
77,Slim River," JKR 226, Jalan Stesyen, 35800 Slim River",05-452 8233,IZMAN HAIDIL ABDUL RAHID
78,Sri Manjung," JKR 607F, Jalan Ketapang, 32040 Sri Manjung",05-688 1903,Pn. Noorfazlina Fazlin Binti Ali
79,Sungai Siput," JKR 2, Jalan Stesyen, 31100 Sungai Siput",05-598 1220,SHAIFUL AZLY BIN TARMIZI
80,Sungai Sumun," JKR 984, Jalan Bagan Datoh, 36300 Sungai Sumun",05-648 9215,MAT ARIS AWANG
81,Sungkai," JKR 32, Jalan Besar, 35600 Sungkai",05-438 6215,MOHD NAJIB MOHD YUSOF
82,Taiping," JKR 102, Jalan Barrack, 34000 Taiping",05-807 7555,MOHD ZAINOL BIN HARUN
83,Taman Ipoh," JKR 4837, Jalan Lau Pak Khuan, Taman Ipoh, 31400 Ipoh",05-546 6555,ROSNANI ABDUL MALEK
84,Tanah Rata," JKR 56, Jalan Sultan Ahmad Shah, 39000 Tanah Rata",05-491 1051,SUHAILA BT SHAHROM
85,Tanjong Piandang," JKR 681, Coast Road, 34250 Tanjong Piandang",05-725 6203,AZRIANA ABDULLAH
86,Tanjong Rambutan," JKR 536, Jalan Besar, 31250 Tanjong Rambutan",05-533 1220,ZURAIDA ZAMBERI
87,Tanjong Tualang," JKR 759, Jalan Kapar, 31800 Tanjong Tualang",05-360 9220,ROHANI JAB
88,Tanjung Malim," JKR 228, Jalan Kotoyong, 35900 Tanjong Malim",05-459 6302,ZURAIDA ABDULLAH
89,Tapah," JKR 138, Jalan Stesyen, 35000 Tapah",05-401 2555,Pn.Rosniza Binti Abdul Rahman
90,Tapah Road," JKR 153, Jalan Besar, 35400 Tapah Road",05-418 1067,SITI  KHADIJAH BT WAHAB
91,Teluk Intan," JKR 16, Jalan Dew, 36000 Teluk Intan",05-621 2555,AZMI BIN ABU HASSAN
92,Temoh," JKR 16 & 17A, Jalan Stesyen, 35350 Temoh",05-419 0220,Mohd Syafiq Bin Meor Amirrudin
93,Tesco Hypermarket Taiping," S9, Tesco Hypermarket Taiping, Lot 38, Jalan Istana Larut, 34000 Taiping",05-808 3084,MUHAMAD AZMI BIN ISMAIL
94,Tesco Ipoh1 / 12 / 2014," LOT 8A Pasaraya Tesco,Taman Medan,31400 Ipoh.",05-545 9781,Pn. Asma Wati Binti Abdul Malik
