,0,1,2,3
0,"Batu 1 1/2, Jalan Utara Sandakan"," JKR 11151, Batu 1 1/2, Jalan Utara Sandakan, 90300 Sandakan",089-210 095,MOHD TAJUDIN BIN OTHMAWI
1,Beaufort," Jalan Pejabat Pos, 89800 Beaufort",087-211 521,PN. RUZYATI BINTI ZAHLAN
2,Beluran," Pekan Daerah Kecil, 90100 Beluran",089-511 223,JABIN SARUNGKAI
3,Beverly," Lot 28, Tingkat Bawah, Beverly Plaza, Jalan Bundusan, 88300 Kota Kinabalu",088-723 524,PN. ROSNI BT TANGGANGON
4,Bongawan," Tingkat Bawah, Lot 4, Bangunan Kedai SEDCO, 89700 Bongawan",087-861 390,MOHD. MADUN OSMAN
5,Cenderawasih," Rumah Kedai, No. 1 (A/B) Blok K, Pusat Kommersial, 91100 Cenderawasih",089-811 832,En. Md Hasrul Bin Md Yaman
6,EziBox@PO Kota Belud," Jalan Lorong Dewan, 89150 Kota Belud",-,-
7,GPO  Kota Kinabalu," Jalan Chong Thein Vun, Off Jalan Tun Razak, 88670 Kota Kinabalu",088-210 855    088-235 018,ABDUL RAZAH BIN HJ DABULAN
8,Inanam," Jalan Tuaran Pekan Inanam, 88450 Kota Kinabalu",088-425 131,Pn. Alvia Binti Amir
9,Kaunter Online Pitas," Gerai Am C, Lot 3, Pejabat Daerah Pitas, 89100 Pitas",088-613 137,Mariani Dayok
10,Keningau," Jalan Undan, 89000 Keningau",087-331 152,EN. RAZIMIN BIN RIBIN
11,Kompleks Pentadbiran Kerajaan Persekutuan (KPKP)," Blok A, Aras 1 Kompleks Pentadbiran Kerajaan Persekutuan, Jalan Teluk Spanggar, 88450 Kota Kinabalu",088-484 735,JAINA JAMAT
12,Kota Belud," Jalan Lorong Dewan, 89150 Kota Belud",088-976 541,MATNIN MUSA
13,Kota Kinabatangan," Lot 4, PT9061636 Pekan Baru, 90200 Kota Kinabatangan",089-561 951,Mohd Salihin Ag. Salleh
14,Kota Marudu," Jalan Lorong Dewan, 89100 Kota Marudu",088-661 201,Pn. Mariani Binti  Tumin
15,Kuala Penyu," Pekan Daerah Kecil, 89740 Kuala Penyu",087-884 224,Pn. Sarizawati Binti Silim
16,Kudat," Jalan OKK Hj. Ghani, 89050 Kudat",088-612 799,En. Cliff Petrus
17,Kunak," Jalan Rumah Kerajaan, 91200 Kunak",089-851 293,PN. DAYANG SUZIANAH BINTI MUSA
18,Lahad Datu," Jalan Teratai, 91100 Lahad Datu",089-881 359,Hinnasir Jaani
19,Lapangan Terbang Antarabangsa Kota Kinabalu," Lot L1L06 (B) Level 1, Terminal Building (Landside) Lapangan Terbang Antarabangsa, 89550 Kota Kinabalu",088-413 729,Nurfadhilla Ahmad
20,Likas," Lot 2 & 3, Tingkat Bawah, Likas Square, Jalan Istiadat, Likas, 88400 Kota Kinabalu",088-256 904,KHAIRUNNISA KUNG ABDULLAH
21,Lok Kawi," Kem Lok Kawi, 89580 Kota Kinabalu",088-762 444,EN. MITCHELL MERCY ROGER
22,Luyang," Lot 24, Blok E Tingkat Bawah, Damai Plaza Luyang Phase III, 88300 Kota Kinabalu",088-247 940,Pn. Juklin Binti Sidin
23,Membakut," Pekan Daerah Kecil, 87920 Membakut",087-887 529,PN. DG MASTURAH BT. MOHD NOH
24,Menumbok," Pekan Daerah Kecil, 87970 Menumbok",087-831 272,EN. DANIEL D LINGGU
25,Nabawan," Pekan Daerah Kecil, 89950 Nabawan",087-366 207,Samms Enrille Wilfred
26,Papar," Lot 1, Tingkat Bawah, Taman OKK Mahadi, 86900 Papar",088-913 716,Pn. Annie Entanak
27,Penampang," Jalan Dimbata, Pekan Donggongan, 89500 Penampang",088-711 568,SUZIE @ LISEH AJUNI
28,Pinggan-Pinggan Pitas," Lot 1, Tingkat Bawah, Kedai Taman Pinggan-Pinggan Jaya, 89130 Pinggan-Pinggan, Pitas",088-661 791        088-661 584,Celanders George
29,Pos 2020 Tawau," Jalan Pejabat Pos, 91000 Tawau",089-763 555,En. Bagusulong Bin Buton
30,Pos Bergerak Beaufort(TERBAKAR), Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Beaufort boleh email kepada pc.powbeaufort@pos.com.my atau uopsbh@pos.com.my,019-841 2760,NIRWAN KADIR
31,Pos Bergerak Keningau," Pejabat pos Keningau,Jalan Undan,89000 Keningau,Sabah<pc.powkeningau@pos.com.my>",012-8325373,EN.BONIFACE JIMMY
32,POS BERGERAK KOTA BELUD," Pejabat Pos Besar Kota Kinabalu, Jalan Chong Thein Vun, Off Jalan Tun Razak, 88670 Kota Kinabalu<pc.powkk2@pos.com.my>",088-210855,MOHD RADZI BIN AG. NORDIN
33,Pos Bergerak Kota Kinabalu, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Kota Kinabalu boleh email kepada pc.powkk@pos.com.my atau uopsbh@pos.com.my,010-964 6690,RONALD WONG YUN FUI
34,Pos Bergerak Kota Marudu," Pejabat Pos Kota Marudu Jalan Lorong Dewan,89100 Kota Marudu, Sabah<pc.powktmarudu@pos.com.my>",88661796,SAILI BIN ABDUL LAKIM
35,Pos Bergerak Lahad Datu, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Lahad Datu boleh email kepada pc.powlhdatu@pos.com.my atau uopsbh@pos.com.my,013-859 5898,ABD. RAZIM MAMBUAI
36,Pos Bergerak Sandakan, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Sandakan boleh email kepada pc.powsandakan@pos.com.my atau uopsbh@pos.com.my,017-834 8286,ASKALI BIN AMELLALI
37,Pos Bergerak Tawau, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Tawau boleh email kepada pc.powtawau@pos.com.my atau uopsbh@pos.com.my,017-890 2750,EN. MASLAN BIN AWANG
38,POSLAJU KENINGAU," Lot No. 2 & 3, Block F, Ground Floor, Keningau Plaza, 89008, Keningau, Sabah",087 – 342 415,Naleodin bin Judin
39,POSLAJU KOTA KINABALU," Jalan Chong Thein Vun, Off Jalan Abdul Razak, 88670 Kota Kinabalu, Sabah",088-231 297,Mohammad Faisal bin Mohtar
40,POSLAJU LABUAN," Lot 3 Lazenda Warehouse Phase II, Jalan Patau-Patau, 87000 Wilayah Persekutuan Labuan",087 - 412349,Salina Henry Bt Abdullah
41,POSLAJU LAHAD DATU," POS MALAYSIA BERHAD, Jln Teratai, 91100 Lahad Datu, Sabah",089-880735,Noryati Mohd Salleh
42,POSLAJU SANDAKAN," Jalan Leila, 90000 Sandakan, Sabah",089-210 594,Rosliah Bt Hashim
43,POSLAJU TAWAU," POS MALAYSIA BERHAD, Jalan Tun Hamdan, 91000 Tawau",089-772 414,Ridzwan Mat Noh
44,Putatan," Lot 11, Ground Floor, PH1, Putatan Point, Putatan, 88200 Kota Kinabalu",088-761 845,JAIMAH BINTI SAPIN
45,Ranau," Pekan, 89300 Ranau",088-876 320,En. J. Iiran Damin
46,Rumah Persekutuan Sandakan," Bangunan Rumah Persekutuan, 90500 Sandakan",089-668 497,Pn. Arbaiah Binti Seman
47,Sandakan," Jalan Leila, 90000 Sandakan",089-225 396,KANAM BIN UJUH
48,Semporna," Jalan Lian Fatt, 91300 Semporna",089-781 524,En. Yusof Bin Tanggalah
49,Sipitang," Jalan Abdul Rashid, 89850 Sipitang",087-821 414,Nurulhuda Mokthar
50,Tambunan," Pekan Daerah Kecil, 89650 Tambunan",087-774 536,EN. SAMMY BIN LAMPONGOK
51,Tamparuli," Pekan Daerah Kecil, 89250 Tamparuli",088-782 355,Frankie Salim
52,Tanjung Aru," Jalan Sireh, 88100 Tanjung Aru",088-254 953,EN. BERNNEY ERIC WONG
53,Tawau," Jalan Tun Hamdan, 91000 Tawau",089-776 060   089-760 059 (F),KARAJAH LANGGARAI
54,Telupid," Lot 1, Blok B Kedai SEDCO, 89300 Telupid",089-521 259,MELVIN JISLI
55,Tenom," Jalan Toh Puan Hjh. Rahimah Stephen, 89900 Tenom",087-736 220,OMARALI  GULLASAN
56,Tuaran," Jalan Kiog, 89200 Tuaran",088-787 420,PN. DAISY GESENG
57,UTC Sabah," Aras Bawah, Menara UTC Sabah, Off Jalan Tunku Abdul Rahman, 88100 Kota Kinabalu",088-237 208,Pn. Samsiah Binti Sahad
58,Wilayah Persekutuan Labuan," Jalan Dewan off Jalan Merdeka, 87000 Wilayah Persekutuan, Labuan",087-425 591fax:087 - 410104,RAISH SALEHO
