,0,1,2,3
0,Ayer Itam," JKR 19, Jalan Paya Terubung, 11500 Ayer Itam",04-828 3226,En. Shahril Bin Noordin
1,Bagan Ajam," JKR 1574, Bagan Ajam, 13000 Butterworth",04-332 2499,Pn. Norshila Binti Shamsudin
2,Balik Pulau," JKR 2312, Jalan Besar, 11000 Balik Pulau",04-866 8204,En. Mohd Sukri Bin Ramli
3,Bandar Baru Ayer Itam," Blok 7D, Desa Intan 11, Bandar Baru Ayer Itam, 11500 Ayer Itam",04-826 9515,Cik. Hafizah Binti Md Saad
4,Bandar Bayan Baru," Lot 1.6, 1.7 & 1.8, Kompleks Mayang Mall, Jalan Mayang Pasir Satu, Mk. 12, Bandar Baru Bayan Baru, 11950 Bayan Lepas",04-643 2555,HASLINDA SUHAIMI
5,Bangunan Mara," A13, Tingkat Bawah Bangunan Mara, Lebuh Buckingham, 10200 Pulau Pinang",04-261 0051,Kamini A/P Vadivelu
6,Batu Ferringghi," JKR 2340, Jalan Batu Ferringghi, 11100 Batu Ferringghi",04-881 2555,Pn. Zuyuah Binti Mohd Ali
7,Batu Maung," JKR 2656, Jalan Batu Maung, 11960 Batu Maung",04-626 4599,Norain Aziz
8,Bayan Lepas(TUTUP SEMENTARA RELOCATE)23.02.2015," 1222, Mk. 11, Jalan Raya, 11900 Bayan Lepas",04-643 5342,ZAHARAH DARUS
9,Bukit Mertajam," JKR 836, Jalan Arumugam Pillai, 14000 Bukit Mertajam",04-539 7953,Pn. Aniza Binti Abu Bakar
10,Carrefour Perai (AEON BIG)," F1 - 05, On Lower Ground Floor, Carrefour Shopping Centre Seberang Jaya, 13700 Perai",04-370 2053,NORIMAH MUHID
11,Dato Keramat," JKR 56, Jalan Dato Keramat, 10460 Dato Keramat",04-226 6422,Pn. Nor Shazleen Binti Ibrahim
12,EziBox@Pos Laju lebuh Victoria , Poslaju Pulau Pinang 245 Lebuh Victoria 10300 Georgetown Pulau Pinang,-,-
13,Gelugor," JKR 2202, Jalan Gelugor, 11700 Gelugor",04-658 1215,Mohd Badiuzzaman Bin Abdul Halim
14,GPO  Pulau Pinang," Tingkat Bawah, Bangunan Tuanku Syed Putra, Leboh Downing, 10670 Pulau Pinang",04-261 9222,En. Sahari Bin Abdul Rashid
15,Jalan Bagan Luar," JKR 25, Jalan Bagan Luar, 12000 Butterworth",04-332 5350,Pn. Mazlinah Binti Mohd Ismail
16,Jelutong," JKR 1621, Jalan Jelutong, 11600 Jelutong",04-658 2840,En. Yusli Bin Yusof
17,Kepala Batas," JKR A13, Jalan Bertam, 13200 Kepala Batas",04-575 1207,Pn. Rohana Binti Yusof
18,KOMTAR," B21-01, No. 1, Arked Tek Soon 1, KOMTAR, 10000 Pulau Pinang",04-261 0555,Pn. Norfaezah Binti Abdul Rahman 
19,Kubang Semang," JKR 1901 (P), 14400 Kubang Semang",04-521 4101,En. Zamzuri Bin Zulhairi
20,Mak Mandin," JKR 1369, Lorong Mak Mandin 5, 13400 Butterworth",04-333 3741,NOOR FAAIZA ABU BAKAR
21,Nibong Tebal," No. 224, Jalan Nuri, Taman Sentosa, 14300 Nibong Tebal",04-593 1401,Faridah Ismail
22,Padang Tembak," JKR 2427, Jalan Padang Tembak, 11400 Padang Tembak",04-828 7644,En. Mohd Badri Abdullah
23,Penaga," JKR 1460, Jalan Besar, 13100 Penaga",04-351 5977,ROSMAWATI OSMAN
24,Pengkalan Weld," Unit 1.22 & 1.23, Blok U-Shaped 111, Leboh Gat Maccallum, 10300 Pulau Pinang",04-262 2777,Pn. Ramlah Binti Hamzah
25,Perai," No. 2949, Tingkat Bawah, Jalan Perai, Taman Inderawasih, 13600 Perai",04-3902340,MUTHULETCHUMY A/P RAJU
26,Permatang Pauh," JKR 1270, Jalan Samagagah, 13500 Permatang Pauh",04-390 1996,En. Mohammad Farhan Bin Majid
27,Pos Bergerak  Butterworth, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Butterworth boleh email kepada pc.powbuttworth@pos.com.my atau uoppp@pos.com.my,019-472 0710,ISHAK YUSUP
28,POSLAJU BUKIT MERTAJAM," No 42 Jalan Bayu Mutiara 1, Taman Bayu Mutiara, Mukim 11, Bukit Tengah,14000 Bukit Mertajam, Pulau Pinang",04-507 4513,Nurul Huda Abdul Halim
29,POSLAJU BUTTERWORTH," Jalan Bagan Dalam, 12100 Butterworth, Pulau Pinang",04-332 6734,Norizan Binti Ramlee
30,POSLAJU PULAU PINANG," 245, Lebuh Victoria, 10300 Pulau Pinang",04-263 7931,Muhammad Syazwan Bin Rohaizad
31,Pulau Tikus," JKR 477, Jalan Cantonment, 10250 Pulau Pinang",04-226 6350,Hanisah Bt Osman
32,Queensbay Mall," GF 12, Queensbay Mall Indah, 11900 Bayan Lepas",04-642 8984,PRAMASWARI NARAYANAN
33,Simpang Ampat," No. 10, Taman IKS Simpang Ampat (PERDA) 14100 Simpang Ampat",04-588 7303,En. Mohd Nizam Bin Mohamad Jafri
34,Sungai Bakap," J.74, Jalan Besar, 14200 Sungai Jejawi",04-582 4202,Pn. Faraadleen Binti Mohd Yusof
35,Sungai Dua," JKR 1964, Jalan Besar, Sungai Dua, 13800 Butterworth",04-356 3310,NOOR HASLIZA KHALID
36,Taman Chai Leng," No. 2, Medan Kurau Dua, Taman Chai Leng, 13700 Perai",04-390 3100,Mohd Shaabani Kasa
37,Taman Seri Delima," No. 2, Lorong Delima 2, Taman Seri Delima, Juru, 14100 Simpang Ampat",04-502 1587,FAIZAH IDRIS
38,Tanjung Bungah," JKR 2072, Jalan Tanjung Bungah, 11200 Tanjung Bungah",04-899 2755,NOOR HAYATY BINTI MOHD NOR
39,Tasek Gelugor," JKR 1204, Jalan Tasek Gelugor, 13300 Tasek Gelugor",04-573 1202,Pn. Zalilah Binti Abu Bakar
40,Telok Bahang," No. 40-G-3/4/5, Rumah Pangsa, Jalan Hassan Abas, 11050 Pulau Pinang",04-885 1952,Azli Bin Mohamed Noor
41,TESCO Extra Seberang Jaya," No. 2762, Lot F12, Persiaran Sembilang, 13700 Seberang Jaya",04-399 5110,En. Mohd Naim Bin Mubin
42,TESCO Pulau Pinang," 1-10.15, Lebuh Tengku Kudin 1, 11700 Pulau Pinang",04-659 5603,Faridah Binti Che Lah
43,Universiti Sains Malaysia," No. 38, (C18) Kompleks USM, 11800 USM",04-658 1727,Pn. Zaharah Binti Darus
