,0,1,2,3
19,EziBox@GPO Johor Bahru," JKR 2521, Jln  Dato Onn, Johor Bahru, Johor",-,-
20,EziBox@KRP-UTM01," Kolej Rahman Putra Jalan Meranti 1, 80990 Johor Bahru, Johor",-,-
21,EziBox@KRP-UTM02," Kolej Rahman Putra Jalan Meranti 1, 80990 Johor Bahru, Johor",-,-
22,EziBox@Petronas Jln Kota Masai 2 ," Lot 136202, HS(D) 277380, Taman Kota Masai, Mukim Plentong, Jalan Kota Masai 2, Taman Kota Masai, 81700 Johor Bharu, Johor",-,-
23,EziBox@Petronas Lebuh Desa Cemerlang," Lot PTD 84376, Jalan Kota Tinggi, Taman Desa Cemerlang, 81800 Ulu Tiram, Johor",-,-
24,EziBox@Petronas Tmn Austin Perdana," Jalan Austin Perdana 3/8, Taman Austin Perdana, 81100 Johor Bahru, Johor",-,-
25,EziBox@Petronas Tmn Cahaya Masai," New Lot PTD 160926, HS (D) 338709, Taman Cahaya Masai, Mukim Plentong, Taman Cahaya Masai, 81750 Johor Bahru, Johor",-,-
26,EziBox@Petronas Tmn Desa Kluang," Lot 37211, Taman Desa, Jalan Batu Pahat, Taman Desa, 86000 Kluang, Johor",-,-
27,EziBox@Petronas Tmn Setia Indah 1 ," Jalan Setia 1, Taman Setia Indah, 81100 Johor Bahru, Johor",-,-
28,EziBox@Pos Laju Pekan Nenas," No 29 Jalan Industri 9, Taman Perindustrian Pekan Nanas, 81500, Pekan Nanas, Johor",-,-
29,EziBox@PS Taman Bayu Puteri," Lot PTD 148144, Taman Bayu Putri, Bandar Baru Permas Jaya, Taman Bayu Puteri, 81100 Johor Bharu, Johor",-,-
30,Gelang Patah," JKR 4891, Jalan Besar, 81550 Gelang Patah",07-510 1122,Mohd Fuad Bin Mohd Farouk
31,Gerisek," JKR 1972A, Jalan Tambak, 84700 Gerisek",06-972 8690,En. Yazid Bin Yusop
32,Giant Pelentong," No. 3, Jalan Masai Lama, 81750 Masai",07-3570142,En. Muhammad Bin Mohamad Sharip
33,GPO   Johor Bharu," JKR 2521, Jalan Dato Onn, 80000 Johor Bharu",07-224 2545    07-223 2555fax:,En. Hasni Bin Shariff
34,Gugusan Taib Andak," JKR 734, Jalan Mastika, 81000 Kulai",07-897 7244,En. Muhammad Fadli Bin Azman
35,Jementah," JKR 779, Jalan Muar, 85200 Jementah",07-947 1120,SAMSIR RADIN TAIB
36,Kahang," JKR 1820, Jalan Yu, 86700 Kahang",07-788 1281,Pn. Noradilah Binti Mohd Salleh
37,Kg. Kenangan Dato Onn," K1, Jalan Emas, Kg. Kenangan Dato Onn, 83000 Batu Pahat",07-432 0016,ABD RAZAK MAANI
38,Kg. Kenangan Tun Dr. Ismail," 89-90, Jalan Pesta 1/4, Taman Tun Dr. Ismail, 84100 Muar",06-952 8592,Khairy Bin Mustaffa
39,Kluang," JKR 1439, Jalan Sultanah, 86000 Kluang","07-7733555, 07-7738501",MOHD SIES MD ZAIN
40,Kompleks Pengangkutan Awam Larkin," Lot A - 04 (A), Tingkat Bawah, Larkin Central, 80350 Johor Bahru",07-2228763,Pn. Suraya Binti Mohd Shariff
41,Kota Tinggi," JKR 670, Jalan Lombong, 81900 Kota Tinggi",07-883 1002,Pn. Zabedah Binti Abdul Hamid
42,Kukup," JKR 1293, Pekan Permas, 82300 Kukup",07-696 0218,Muhamad Azri Bin Abdul Aziz
43,Kulai," JKR 847, Jalan Raya, 81000 Kulai",07-663 1243,MOHAMAD JAMSARI OSMAN
44,Labis," JKR 250, Jalan Yong Peng, 85300 Labis",07-925 1241,MOHD FUA'AD JUAHIR
45,Lapangan Terbang Sultan Ismail," Basement Bangunan Lapangan Terbang Sultan Ismail, 81400 Johor Bahru",07-599 1778,En. Rafedah Binti Yunos
46,Layang-Layang," JKR 395, Jalan Pejabat Pos, 81850 Layang -Layang",07-752 7213,MOHD PAIMAN SINGAH
47,Majidee," JKR 3635, Jalan Tebrau Lama, 81100 Johor Bahru",07-333 4281,Pn. Roziana Binti Hassan
48,Masai," JKR 2301, Jalan Sekolah, 81750 Masai",07-251 1235,SHARIFAHNOR A. SHUKOR
49,Mersing," JKR 670, Jalan Abu Bakar, 86800 Mersing",07-799 1031,KAMARUDIN ESA
50,Muar," JKR 2200, Jalan Othman, 84000 Muar",06-952855506-9542894fax:06-95,Pn. Soliha Binti Karsahid
51,Nusajaya, Pos Malaysia NusajayaAras 1 Siar Jauhar Bangunan Sultan IsmailKota Iskandar Nusajaya 79000 Johor BahruJohor,07-5561004,NORLIN ISMAIL
52,Pagoh," JKR 1990A, Jalan Besar, 84600 Pagoh",06-974 6204,En. Syamsul Firdaus Bin Saim
53,Paloh," JKR 238, Jalan Stesyen, 86600 Paloh",07-781 1246,En. Mohamad Fitri Bin Jamian
54,Panchor," JKR 501, Jalan Pears, 84500 Panchor",06-973 6241,En. Mohd Firdaus Bin Aris
55,Parit Jawa," JKR 2368, Jalan Temanggong Ahmad, 84150 Parit Jawa",06-987 4231,AZHAR A. BAKAR
56,Parit Raja," JKR 1148, Jalan Besar, 86400 Parit Raja",07-454 1208,SUHAILA SARKOM
57,Parit Sulong," JKR 1390, Jalan Sulong, 83500 Parit Sulong",07-418 6255,NOR SA'ADAH ABDULLAH
58,Pasir Gudang," 12A, Tingkat 1, Pusat Perniagaan Jalan Bandar, 81700 Pasir Gudang",07-251 2555,FATIMAH BABA
59,Pekan Nenas," JKR 1294, Jalan Pasar Lama, 81500 Pekan Nenas",07-699 1146,MAHANON AHMAD
60,Pengerang," JKR 644, Jalan Besar, 81600 Pengerang",07-825 2213,SURIZA SHAROM
61,Pontian," JKR 1479, Jalan Pejabat, 82000 Pontian",07-687 1301,SITI JULIAH RAMANOON
62,Pos Bergerak Muar, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Muar boleh email kepada pc.powmuar@pos.com.my atau uopjohor@pos.com.my,019-6294909,MOHAMAD SHAHRONI HURDIN
63,POSLAJU BATU PAHAT," No 69 & 70 Jalan Chengal, Taman Batu Pahat, 83000 Batu Pahat, Johor Darul Takzim",07-432 0171,Hamidon Bin Ahmad
64,POSLAJU JOHOR BAHRU," No. 4, Jalan Bakti, Kawasan Perindustrian Larkin, 80350 Johor Bahru, Johor",07-235 2143,Dalini Bt Kamarudin
65,POSLAJU KLUANG," 1439, Jalan Sultanah, 86000 Kluang, Johor",07-774 5166,Jasmani B Ahmad
66,POSLAJU KOTA TINGGI," No. 97, Jalan Baiduri, Taman Daiman Jaya, 81900 Kota Tinggi, Johor",07-882 1953,Saripah Norzaini Wan Nong
67,POSLAJU MUAR," No 217 Jalan Meriam , 84000 Muar, Johor",06-953 3135,Zahana Binti Abdullah
68,POSLAJU PASIR GUDANG," No 12, Pusat Perdagangan, Jalan Bandar, 81700 Pasir Gudang, Johor",07-256 1992,Abd Hamid Bin Ariff
69,POSLAJU PEKAN NENAS," Lot  2656 Jalan Johor, 81500 Pekan Nenas, Pontian, Johor",07-699 1662,Isnin bin Ismail
70,POSLAJU SEGAMAT," No. 7 & 8 Tingkat Bawah, Jalan Emas, Taman Batu Hampar, 85000 Segamat, Johor",07-931 8568,Ahmad Humaizi Bin Udin @ Uzir
71,Pusat Mel Johor Bahru," No. 4, Jalan Bakti. Kawasan Perindustrian Larkin, 80350 Johor Bahru",07-235201207-2346035,AZLINDA ISMAIL
72,Rengam," JKR 134, Jalan Stesyen, 86300 Rengam",07-753 5248,SHAHRUDIN SADOON
73,Rengit," JKR 770 Jalan Pejabat, 83100 Rengit",07-424 1266,MOHD FAIZ BIN MOHD JUNID
74,Segamat," JKR 1146, Jalan Awang, 85000 Segamat",07-932 6727,ABD GHANI MAT
75,Semerah," JKR 1431, Pekan Semerah, 83600 Semerah",07-416 1224,MOHD KHALID RAHAMAT @ RAHMAT
76,Senai," JKR 839, Jalan Besar, 81400 Senai",07-599 1211,Pn. Noordiana Binti  Hashim
77,Senggarang," JKR 369, Pekan Senggarang, 83200 Senggarang",07-429 1233,Pn. Norhidayah Binti Hamin
78,Simpang Rengam," JKR 1363, Jalan Johor, 86200 Simpang Rengam",07-755 7260,ROSNAH MOHAMED
79,Skudai," PTD 1712, Jalan Skudai Batu 10, 81300 Skudai",07-556 2555,Pn. Zabidah Binti Yusof@Jusoh
80,Sri Gading," JKR 2135, Jalan Batu Pahat/Kluang, 83300 Sri Gading",07-455 8608,En. Ahmad Azreen Bin Abdul Hair
81,Sri Medan," JKR 2144, Jalan Besar, 83300 Sri Medan",07-485 0522,YUSRI SALLEH
82,Sungai Mati," JKR 3094, Jalan Serom, 84400 Sungai Mati",06-975 1233,NORAINI SHADAT
83,Taman Daya," No. 63, Jalan Sagu 10, Taman Daya, 81100 Johor Bahru",07-3516004,Nor Azila Binti Sarindi
84,Taman Johor Jaya," No. 15, Jalan Ros Merah 2, Taman Johor Jaya, 81100 Johor Bahru",07-356 0485,Pn. Siti Hajar Binti Abd Rahman
85,Taman Kangkar Pulai," No. 9, Jalan Pulai Bistari 1, Bandar Baru Kangkar Pulai, 81300 Johor Bahru",07-5276545,Julina Tukiman
86,Taman Megah Ria," No. 7, Jalan Bayan 37, Taman Megah Ria, 81750 Masai",07-3866255,Pn. Zarina Binti Mohamad
87,Taman Perling," 320, Jalan Simbang, Taman Perling, 81200 Johor Bahru",07-234 7506,JUNAIDAH OTHMAN
88,Taman Sri Tebrau," JKR 5355, Jalan Kelewang, Taman Sri Tebrau, 80050 Johor Bahru",07-332 2023,BADRUL HISYAM A. RAHMAN
89,Taman Ungku Tun Aminah," No. 24, Jalan Perwira 18, Taman Ungku Tun Aminah, 81300 Sekudai",07-556 6511,JAMIAN SUPAAT
90,Taman Universiti," No. 18, Jalan Kebudayaan 17, Taman Universiti, 81300 Sekudai",07-5214240,En. Hairil Hamka Bin Haron
91,Tampoi," JKR 2386, Lorong Nenas, 81200 Tampoi",07-236 1052,MOHAMAD NAZRI HASSAN
92,Tangkak," JKR 3019, Jalan Paya Mas, 84900 Tangkak",06-978 1543,RAHMAN TALIP
93,Tesco Mutiara Rini," Pejabat Pos Tesco Mutiara Rini, PTD 176567, Lot G 9, No. 1 Jalan Persiaran Jaya 1, Taman Mutiara Rini, 81300 Skudai, Johor.",07-5627766 ,Pn. Norlin Binti Ismail
94,Tesco Sri Alam," PTD 111515, Jalan Rinting, Sri Alam, 81750 Masai",07-3870197,ROS ANITA ISMAIL
95,Tongkang Pecah," No. 44, Jalan Besar, Tongkang Pecah, 83010 Batu Pahat",07-415 6206,YUSNITA MOHAMAD YUNOS
96,Ulu Tiram," JKR 3208, Jalan Kota Tinggi, 81800 Ulu Tiram",07-861 1563,SHARIFAH BINTI HOOD
97,Universiti Teknologi Malaysia," Tingkat Bawah, Bangunan Persatuan Pelajar UTM, 81310 Sekudai",07-5544740,Pn. Zarith Sofia Binti Mat Idris
98,Wisma Persekutuan," Blok B, Pejabat Wisma Persekutuan, 80000 Johor Bahru",07-223 0571,En. Luqman Sufi Bin Abd Hamid
99,Yong Peng," JKR 1509A, Jalan Templer, 83700 Yong Peng",07-467 1211,HADIMAH JAAFAR
