,0,1,2,3
0,Ayer Lanas," JKR 552, Jalan Besar, 17700 Ayer Lanas",09-946 8181,Pn. Syahidatul Laila Binti Mohd Ibrahim
1,Bachok," PWD 360, Jalan Besar, 16300 Bachok",09-778 8243,Pn. Nazira Binti Ismail
2,Cherang Ruku," JKR 360, Jalan Besar, 16700 Cherang Ruku",09-691 2057,FATIMAH DOLLAH
3,GPO   Kota Bharu," Jalan Sultan Ibrahim, 15670 Kota Bharu",09-741 2677,En. Zulbahri Bin Mohamed
4,Gua Musang," JKR 4, Jalan Besar, 18300 Gua Musang",09-912 1215,MOHD DARAWI MOHD RAZALI
5,Jalan Kebun Sultan," No.  4376-L, Jalan Kebun Sultan, 15300 Kota Bharu",09-741 2679,Mohd Norzihan Bin Mat Noor 
6,Jeli," Lot G6, Medan Niaga Mara Jeli, 17000 Jeli",09-944 0181,Cik. Siti Sarah Binti Abdullah
7,Kem Desa Pahlawan," JKR AB 1227, Kem Desa Pahlawan, 16500Kem Desa Pahlawan",09-787 8353,MOHD ZAHARUDIN BIN JUSOH
8,Ketereh," JKR 2088, Jalan Kuala Krai, 16450 Ketereh",09-788 6019,En. Mohd Saiful Azraf Bin Abdul Aziz
9,Kota Darul Naim," Jalan Darul Naim, Kampung Sireh, 15050 Kota Bharu",09-741 2750,Pn. Roslina Wati Binti Mohd Yuti
10,Kuala Balah," JKR 46, Kg. Tg. Abd. Rahman, 17610 Kuala Balah",09-936 1046,MD. AMIRUL MOHAMED NOOR
11,Kuala Krai," Lot PT 4011, Lebuhraya Kuala Krai/Gua Musang, 18000 Kuala Krai",09-966 6246,Suhailah Mohamad Yunan
12,Kubang Kerian," Lot 13, Jalan Pasir Putih, 16150 Kota Bharu",09-765 2459,Pn. Anis Binti Ariffin
13,Machang," JKR 22, Jalan Kweng Umat,  18500 Machang",09-975 1021,MAHIZAN ISMAIL
14,Melor," Jalan Kota Bharu / Pasir Puteh, 16400 Melor",09-783 5246,RAZALI BIN SALLEH
15,Mulong," Batu 8, Jalan Kuala Krai, 16010 Kota Bharu",09-712 7331,Cik. Mazni Binti Inche Saidi
16,Pasir Mas," JKR 411, Jalan Pejabat Jajahan, 17000 Pasir Mas",09-790 8022,Pn. Fatimah Binti Abdullah
17,Pasir Puteh," JKR 112, Jalan Kota Bharu, 16800 Pasir Puteh",09-786 6023,Pn. Zulaikha Binti Rafie
18,Pengkalan Chepa," JKR 2087, Jalan Maktab, 16100 Pengkalan Chepa",09-773 8211,En. Shaari Bin Mat
19,Pengkalan Kubor," JKR 1746, Jalan Lama Pengkalan Kubor, 16080 Pengkalan Kubor",09-721 1481,En. Mohd Shahril Akmal Bin Mat Riffin
20,POS 2020(Seksyen 8)," PT 176, Blok B, Jalan Parit Dalam, 15000 Kota Bharu",09-741 2752,Asri Bin Yaacob
21,Pos Bergerak Kota Bharu, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Kelatan boleh email kepada pc.powkelantan@pos.com.my atau uopktn@pos.com.my,019-9142350,Wan Mohd Sharif Bin Wan Abdullah
22,POSLAJU KOTA BHARU," Lot No. 1908-1910, Seksyen 50 Mukim Bayam, Daerah Panji 15670, Kota Bharu Kelantan Darul Naim",09-747 2852,Che Mohd Ropi bin Che Ngah
23,POSLAJU MACHANG," Lot No. 601, No. 1 Terminal Bas Ekspress, Jalan Besar Bandar Machang, Kawasan Bandar, 18500 Machang, Kelantan Darul Naim.",09-9754 141,Mohd Nadzri B Yaacob
24,POSLAJU PASIR MAS," Lot 1369 A & B, Mukim Kasa, Daerah Kubang Gadong, Jajahan Pasir Mas, 17000 Pasir Mas, Kelantan.",09 – 7900 763,Wan Noor Azma bt Wan Hashim
25,Pulai Chondong," JKR 257, 16600 Pulai Chondong",09-787 8545,En. Mohd Hanif Bin Che Husain
26,Rantau Panjang," JKR 837, Jalan Besar, 17200 Rantau Panjang",09-795 0211,En. Hasrinazmi Bin Che Hassan
27,Selising," JKR 488, Jalan Kota Bharu / Pasir Putih, 16810 Selising",09-789 1135,ZUBAIDAH AWANG DRAMAN
28,Tanah Merah," JKR 135, Jalan Machang, 17500 Tanah Merah",09-955 6219,AZHAR IBRAHIM
29,Tesco Kota Bharu(seksyen 9)," F11, Pasaraya Tesco, Lot 1828, Seksyen 7, 15150 Kota Bharu",09-741 2751,En. Nur Azizul Bin Azmee
30,Tumpat," JKR 681, Jalan Besar, 16200 Tumpat",09-725 7388,En. Che Baria Bin Che Hamid
31,Wakaf Bharu," JKR 1134, Jalan Puteri Saadong, 16250 Wakaf Baru",09-719 6598,En. Asri Bin Yaacob
32,Wakaf Che Yeh," Batu 3 1/2, Jalan Kuala Krai, 15100 Kota Bharu",09-741 2754,Zuriani Abdu Majid
