,0,1,2,3
0,Air Kuning Selatan," Balai Penghulu, Mukim Air Kuning, 73200 Gemencheh",06-447 8930,MOHAMAD ALIF BIN MOHAMAD HANIF
1,Bahau," No. 52, Jalan Mahligai, 72100 Bahau",06-454 1235fax;06-454 8279,En. Ahmad Zaki Bin Habib
2,Bandar Seri Jempol," JKR 836, Jalan Seremban, 72120 Bandar Sri Jempol",06-458 1139        Fax:            ,En. Ghazali Bin Suhaimi
3,Batu Kikir," JKR 1372, Jalan Besar, 72200 Batu Kikir",06-498 1553,KAMARUL AZRIN BIN MOHAMAD
4,Centre Point SerembanDITUTUP SEMENTARA2.9.2014 SEHINGGA MAC 2015," Centre Point. Jalan Dato Siamang Gagap, 70100 Seremban",06-767 9976,HANOFIAH BINTI LEBAI UDIN
5,EziBox@GPO Seremban," JKR 1486, Jalan Rahang, 70000 Seremban",-,-
6,EziBox@POKota Seri Mas," Unit A-2 - A-5, d’Streetmall, Pusat Komersial Seriemas,Persiaran Seriemas 2, Kota Seriemas, 71800 Nilai Negeri Sembilan",-,-
7,Gemas," PT 4614, Bandar Baru, 73400 Gemas",07-948 1034,ROZI BINTI UDIN
8,Gemencheh," JKR 1635, Jalan Tampin - Gemas, 73200 Gemencheh",06-431 6350,MAHISAR BIN SABAR
9,GPO   Besar Seremban," JKR 1486, Jalan Rahang, 70000 Seremban",06-763 0555,En.Mohd Zuhaidi Bin Mohd Noor
10,Johol," JKR 961, Jalan Besar, 73100 Johol",06-436 7221,ROHAYAH BINTI ABU BAKAR
11,Juaseh," JKR 1717, Jalan Besar, 72500 Juaseh",06-498 1798,MUHAMAD AMIN BIN NGADON
12,Kota," JKR 1503, Jalan Besar, 71350 Kota",06-438 1554,En.Mohd Arif Bin Azmi
13,Kota Seriemas," LOT A2, A3 & A4 D'streetmall,Pusat Komersial Kota Seriemas,Persiaran Seriemas Dua,71800 Nilai,Negeri Sembilan.",06-7953315,Pn Juliana Binti Abdullah
14,Kuala Klawang," Lot 33 & 34, Jalan Dato Menteri, 71600 Kuala Klawang",06-613 6262,En. Shamsuddin Bin Mustaffa
15,Kuala Pilah," JKR 1629, Jalan Bahau, 72000 Kuala Pilah",06-481 1001,HABSAH BINTI ZAINAL
16,Labu," JKR 1784, Jalan Besar, 71900 Labu",06-791 1514,En. Mohammad Alif Iffat Bin Mohd Noh
17,Lenggeng," JKR 1535, Jalan Besar, 71750 Lenggeng",06-758 1263,En.Mohd Firdaus Bin Mohd Fohad
18,Linggi," Lot 4067, PT 648, Pekan Linggi, 71150 Linggi",06-697 0248,Pn. Rina Binti Abdul Samad
19,Lukut," L31, Ground Floor, Tesco Lukut,No.35, Jalan Prima 1, Lukut Prima,71010 Port Dickson, Negeri Sembilan",06-651 1219,En. Firdaus Bin Abdul Hamid
20,Mantin," JKR 208, Jalan Besar, 71700 Mantin",06-758 1221,MUSALMAH BINTI ABDUL RAHIM
21,Nilai," PT 5797, Jalan Taman Semarak 2/1G, Taman Semarak, 71800 Nilai",06-799 1229,Pn.Zainab Binti Ibrahim
22,Pasaraya Giant Nilai," PT 6367, Jalan Bandar Baru Nilai 3/1, Putra Nilai, 71800 Nilai",06-799 2602,En. Muhamad Aizuddin Bin Anuar
23,Pasir Panjang," JKR 657, Jalan Besar, 71250 Pasir Panjang",06-661 9348,Pn. Haslina Binti Sulaiman
24,Pedas," JKR 235A, Jalan Besar, 71400 Pedas",06-685 1253,ZUMUHAMAD TANI BIN OMAR
25,Port Dickson," JKR 586P, Jalan Baru, 71000 Port Dickson",06-647 1491,Pn.Norhayati Binti Hj. Isa
26,Pos Bergerak Seremban, Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pos bergerak Seremban boleh email kepada pc.powsrmbn@pos.com.my atau uopns@pos.com.my,,En.Rizal Bin Rosli
27,POSLAJU BAHAU," No. 21, Jalan Masjid, Pusat Perniagaan Bahau, 72100 Negeri Sembilan",06-454 3182,Abd Razak Bin Hj Omar Ali
28,POSLAJU NILAI," PT 4954, Jln TS2/1, Taman Semarak, 71800 Nilai , Negeri Sembilan",06-799 4393,Mohd Zulhairi Bin Mohamad Som
29,POSLAJU PORT DICKSON," No.33 & 34(Grd. Floor) Jalan DS2/1, Bandar Dataran Segar, Batu 3, Jalan Seremban, 71000 Port Dickson, Negeri Sembilan",06-651 6316,Nasruddin B Anuar
30,POSLAJU SEREMBAN," No. 148 Jalan Bandar Senawang 7, Pusat Bandar Senawang, 70450 Seremban, Negeri Sembilan",06 - 6788 700,Sharul Bariah Bte Aziz
31,Pusat Bandar Palong," No. 1, Pusat Bandar Palong, 73430 Palong",06-466 8622      Fax:              ,RAMLAH BINTI SULAIMAN
32,Rahang," JKR 3088, Jalan Tok Ungku, 70100 Seremban",06-631 2555,Pn. Noralizawati Binti Hamzah
33,Rantau," JKR 259, Jalan Besar, 71200 Rantau",06-694 1221,NOR FAZILAH BINTI MOHAMAD NOR
34,Rembau," 12, Jalan Dato Undang, 71300 Rembau",06-685 1221,Pn.Siti Azila Binti Abdul Aziz
35,Rompin," JKR 665, Jalan Rompin - Bahau, 73500 Rompin",06-457 6201,MOHD ZAHAR BIN KAMARUDDIN
36,Senawang (GIANT)," B40 & B41, Pasaraya Giant Senawang, 71450 Seremban",06-679 8155,Pn. Norzabitah Binti Abd Aziz
37,Seremban 2 (AEON)," Lot 20, Aras 1, Pasaraya Jusco Seremban 2, 70300 Seremban",06-603 1635,En.Mohd Mahadir Bin Muha
38,Seremban Utara," JKR 956, Jalan Dato' Bandar Tunggal, 70000 Seremban",06-763 3555,En. Azhar Bin Ayob
39,Seri Menanti," JKR 1168, Jalan Besar 71550 Sri Menanti",06-497 9582,En. Mohamad Amin Bin Ngadon
40,Si-Rusa," JKR 249, Jalan Ibrahim, 71050 Si Rusa",06-647 1619,BADUL ZAMAN BIN AHMAD
41,Simpang Durian," No. 20, Pekan Desa Permai, 72400 Simpang Durian",06-491 4215,Pn.Suriati Binti Abu Samah
42,Simpang Pertang," JKR 779, Jalan Durian Tipus, 72300 Simpang Pertang",06-492 9229,HAMISLINA BINTI MISKAM
43,Taman Tuanku Jaafar," 508, Aras Bawah, Jalan TTJ 2/4, Taman Tuanku Jaafar, 71450 Seremban",06-677 3329,Pn.Siti Rudiah Binti Talib
44,Tampin," JKR 77, Jalan Kelab, 73000 Tampin",06-441 1270       Fax:             ,En. Rahim Bin Kadir
45,Tanjung Ipoh," JKR 666, Jalan Besar, 71500 Tanjung Ipoh",06-488 7188,En. Muhammad Zaidi Bin Zahari
46,Titi," J-1, Jalan Lama, 71650 Titi",06-611 1235,Pn. Noor Azrina Binti Maarof
