,0,1,2,3
0,Alor Jangus," Batu 6, Jalan Putera, 06250 Alor Setar",04-735 4002,Mohd Noridzwan Fadly Bin Ismail
1,Ayer Hitam," Km 20, Jalan Putera, 06150 Ayer Hitam",04-794 0515,NURZUHA MAT ALI
2,Baling," R-8, Bangunan 8 2 1/2, Tkt. Pekan Baru, 09100 Baling",04-470 7477,NOR SALEHA BT IBRAHIM
3,Bandar Bukit Kayu Hitam," JKR 351, Lebuhraya Utara - Selatan, 06050 Bukit Kayu Hitam",04-922 208604-922 1769,Pn. Nur Syazwan Binti Ismail
4,Bedong," JKR 2220, Jalan Semeling, 08100 Bedong",04-458 1241,En. Mohamed Hafeez Bin Amin
5,Changloon," 4-A, Taman Sri Changloon, 06010 Changloon",04-924 1824,ZURINA BINTI IDRIS
6,Felda Lubok Merbau," Bangunan UMNO Zon Felda/Kampong Berjaya, Bahagian Padang Terap, 06710 Pendang",04-752 2859,MOHAMAD RIDHUAN BIN IDRIS
7,GPO  Alor Setar," Bangunan Pejabat Pos Besar, Jalan Stadium, 05670 Alor Setar",04-730 2555(DL)04-7312567,En.Muhd Sayuthi bin Abd Aziz
8,Guar Chempedak," JKR PY-P67, Jalan Yan, 08800 Guar Chempedak",04-468 6813,Pn. Normadiah Binti Kamaruddin
9,Gurun," JKR F2230, Jalan Raya, 08300 Gurun",04-4615127 / 04-4615681,En. Muhamad Faris Bin Hanafi
10,Jalan Raja," Jalan Raja, 05000 Alor Setar",04-732 4555,Pn. Jamilah Binti Saad
11,Jalan Tunku Ibrahim," 1,2 & 3, Tingkat Bawah, Bangunan Lembaga Padi, Jalan Tunku Ibrahim, 05000 Alor Setar",04-731 2555,Norbaya @ Hapisah Binti Ghazali
12,Jeniang," No. 6 & 20, Bangunan Arked Mara, 08700 Jeniang",04-464 4362 / 04-4644016    ,ROSNANI MOHD JOHARI
13,Jitra," JKR 2706, Km 21, Jalan Changloon, 06000 Jitra",04-917 3555,MOHD SHOFI AHMAD
14,Kampong Raja," JKR F2233, Jalan Kuala Ketil, 08000 Sungai Petani",04-422 6180,Pn. Hasma Binti Ali
15,Karangan," JKR 186, Jalan Raya, 09700 Karangan",04-405 6280,Noor Jumaatul Laili Binti Rosdi
16,Kepala Batas," JKR 40, Jalan Kepala Batas, 06200 Kepala Batas",04-714 4069,HASLINA JAMALUDDIN
17,Kodiang," JKR (P) 2442, Pekan Kodiang, 06100 Kodiang",04-925 5331,Md Fauzi Bin Othman
18,Kota Kuala Muda," JKR F 2105A, Jalan Sepia, 08500 Kota Kuala Muda",04-437 4344,Salmiah  Binti Bakar
19,Kota Sarang Semut," JKR 3062, KM 16, Jalan Sungai Petani, 06800 Kota Sarang Semut",04-769 2413,Mohd Firdaus Bin Abdul Bahari
20,Kuala Kedah," Jalan Raya Pekan, 06600 Kuala Kedah",04-762 1640,ROSFANIZA AHMAD
