,0,1,2,3
26,EziBox@Mailroom Astro AABC," Astro Measat Broadcast Network Systems No 217, Technology Park Malaysia, Kuala Lumpur, Federal Territory of Kuala Lumpur",-,-
27,EziBox@Menara Maybank," Ground Floor, Menara Maybank, 100 Jln  Tun Perak, 50050 Kuala Lumpur, Malaysia ",-,-
28,EziBox@Menara TM Bangsar," Jln  Pantai Baharu, Taman Bukit Pantai, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
29,EziBox@Petronas Alam Damai, Lot 899 (SPPR Sungai Midah) Mukim Cheras 56000 Kuala Lumpur,-,-
30,EziBox@Petronas Bdr Manjalara," Lot PT 44665, Mukim Batu, Bandar Menjalara, Kepong, Kuala Lumpur",-,-
31,EziBox@Petronas Bdr Sri Damansara," Lot 37196 GRN 57001 & Lot 37197 GRN 57002 Persiaran Perdana, Bandar Sri Damansara, Petaling, Selangor",-,-
32,EziBox@Petronas Bukit Antarabangsa," Lot PT 3429, Jln  Wangsa 2, Bukit Antarabangsa,  Ampang, Selangor",-,-
33,EziBox@Petronas Cochrane Perkasa," Lot 1246, Jln  Cochrane, Mukim Ampang 55100 Kuala Lumpur",-,-
34,EziBox@Petronas Jln  Ampang," Lot 59, Batu 3, Jln  Ampang,  Ampang, Wilayah Persekutuan Kuala Lumpur",-,-
35,EziBox@Petronas Jln  Kolam Ayer Lama," Lot 36904, Jln  Kolam Air Lama, Mukim Ampang, Ampang, Selangor",-,-
36,EziBox@Petronas Jln  Pandan Indah," Lot PT 18231, Jln  Pandan Indah 1/25, Pandan Indah, Ampang, Selangor",-,-
37,EziBox@Petronas NPE Pantai Dalam," CH.1520-1710, Off New Pantai Expressway (NPE), Near Pantai Dalam Interchange, 59200 Kuala Lumpur, Wilayah Persekutuan",-,-
38,EziBox@Petronas Segambut," Lot 9524, Jln  Segambut Dalam, Segambut,Kuala Lumpur",-,-
39,EziBox@Petronas Selayang Baru," Lot 1051, Jln  Besar, Selayang Baru 68100 Batu Caves",-,-
40,EziBox@Petronas Setapak Indah," Lot PT 2381, Jln  1A/ 6, Taman Setapak Indah, 53000, Wilayah Persekutuan",-,-
41,EziBox@Petronas Tmn Cempaka Ampang," Petronas taman cempaka ,Lot 1859,, Taman Cempaka, Ampang Jaya, Selangor, Malaysia",-,-
42,EziBox@Petronas Tmn Perindustrian KIP," Lot 2838, Persiaran KIP Utama, Parcel 1, Kepong Industrial Park, Kepong, Wilayah Persekutuan Kuala Lumpur",-,-
43,EziBox@POJinjang ," JKR, 1693, Jln  Besar, Jinjang Utara,  Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
44,EziBox@POJln Gombak," Jln  Gombak,  Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
45,EziBox@POJln Klang Lama," Jln  Klang Lama, Taman Lian Hoe,  Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
46,EziBox@POMedan Tuanku," Jln  Tuanku Abdul Rahman, Chow Kit, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
47,EziBox@Pos Laju Kuala Lumpur," Jln. Tun Sambanthan, Kuala Lumpur, Brickfields, Kuala Lumpur, Federal Territory of Kuala Lumpur ",-,-
48,EziBox@Pos Laju Segambut," Jln  Udang Harimau 2, Segambut Bahagia, 51200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
49,EziBox@POS24 Pos Laju Ampang," Pos Laju Ampang, No1 ,Jln 8/91,Taman Perindustrian Shamelin Perkasa, 56100 Kuala Lumpur",-,-
50,EziBox@POSungai Besi," Jln  Pejabat Pos, Sungai Besi, Kuala Lumpur.",-,-
51,EziBox@POUniversiti Malaya," PO Universiti Malaya, Dewan Perdana Siswa Jln Lembah Pantai,Kuala Lumpur, Federal Territory of Kuala Lumpur",-,-
52,EziBox@PPUM Menara Timur," Jabatan Pembangunan Perniagaan, Tingkat 2 Loading Bay Menara Timur, Pusat Perubatan Universiti Malaya 59100 Kuala Lumpur ",-,-
53,EziBox@Publika Mall," Kiosk K2, Level G3, Publika Shopping Gallery, Solaris Dutamas, No.1 Jln  Dutamas 1, 50480 Solaris, Kuala Lumpur",-,-
54,EziBox@Shell Jln  Maarof Bangsar," Shell Jln  maarof 82, Jln  Maarof, Bangsar Baru,  Bangsar, Wilayah Perseketuan",-,-
55,EziBox@Shell Pandan Mewah Ampang," Shell pandan mewah Jln  Mewah Utara, Taman Pandan Mewah, Ampang, Selangor",-,-
56,EziBox@Shell Sri Hartamas," Off Jln  Bukit Kiara, Kuala Lumpur, Wilayah Perseketuan",-,-
57,EziBox@Shell Tmn Connaught ," Jln  Cerdas, Taman Connaught, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
58,EziBox@Shell Tmn Selayang Utama," Shell Taman Selayang Utama, Jln  SJ 20, Taman Selayang Jaya, 68100 Batu Caves, Selangor.",-,-
59,EziBox@Shell Wangsa Maju," SH Wangsa Maju 3 (Lot T 6559, Sector C7/R13, Bandar Baru Wangsa Maju, Kuala Lumpur)",-,-
60,EziBox@Tesco Ampang," PT 8880, Jln  Pandan Muhibbah, Dataran Pandan Prima,  Kuala Lumpur",-,-
61,EziBox@Tesco Cheras," Tesco Cheras G30, Jln  Midah 2, Taman Midah, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
62,EziBox@Tesco Kepong," Kepong Village Mall, 3, Jln  7a/62a, Taman Manjalara, Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
63,EziBox@UIAM Admin Building," Administration Building, Universiti Islam Antarabangsa Malaysia, Jln  Gombak, 53100 Kuala Lumpur",-,-
64,EziBox@UIAM Mahallah Asiah," Mahallah Asiah, Universiti Islam Antarabangsa Malaysia, Jln  Gombak, 53100 Kuala Lumpur",-,-
65,EziBox@UKM KL," Blok A, Fakulti Sains Kesihatan, UKM Kampus Kuala Lumpur, Jln  Raja Muda Abdul Aziz, 50300 Kuala Lumpur  ",-,-
66,GLO Damansara," Pos Malaysia GLO DamansaraNo 3A.03C, Level 3A, Menara GlomacGlomac Damansara,  Jalan Damansara60000 Kuala Lumpur",03-77314215,En.Hasnulizam Bin Hassan
67,Gombak," 1950 & 2793, Batu 5, Jalan Gombak, 53000 Kuala Lumpur",03-4023 1949,ASMI SULAIMAN
68,GPO  Kuala Lumpur," Jalan Tan Cheng Lock, 50670 Kuala Lumpur",03-22672267  Ext: 2386,AZIZ ABU AMIN
69,Hospital Besar," Hospital Besar, Jalan Pahang, 53000 Kuala Lumpur",03-2691 5524,En. Mohd Sidek Bin Husain
70,Jalan Brickfields," No. 75, Jalan Thambipillai, 50470 Kuala Lumpur",03-2274 1535,NORLINA BT AHMAD
71,Jalan Cheras(Cheras Makmur)," 25 & 27, Jalan 4/96A, Taman Cheras Makmur, 56100 Kuala Lumpur",03-9132 4364,Pn. Salasiah Binti Mispari
72,Jalan Gurney," Tingkat Bawah, Wisma Ukur, Jalan Semarak, 54100 Kuala Lumpur",03-2691 1351,MASYITAH ABDUL HAMID
73,Jalan Ipoh," 719, Batu 4 1/2, Jalan Ipoh, 51200 Kuala Lumpur",03-6258 0582,WAN MOHD AZAN WAN ISMAIL
74,Jalan Kelang Lama," Batu 4 1/2, Jalan Kelang Lama, 58000 Kuala Lumpur",03-7983 7523,AZHAR NORDIN
75,Jalan Kuching," 3 & 4, Blok H, Flat PKNS, Jalan Kuching, 51200 Kuala Lumpur",03-6258 5747,SAFIZAN HASSAN
76,Jalan Sultan Salahuddin," Tingkat Bawah, Kompleks Kementerian Kerjaraya, Jalan Sultan Salahudin, 50480 Kuala Lumpur",03-2692 2852,Azni Binti Abas @ Abbas
77,Jalan Tunku Abdul Rahman," No. 3, Jalan Dewan Sultan Sulaiman 1, 50300 Kuala Lumpur",03-26981555,Pn. Ninie Nazliza Binti Mohd Nasir
78,Jinjang," JKR 1693, Jalan Besar Kepong, 52000 Kuala Lumpur",03-6258 2536,AZNI BT ABAS @ ABBAS
79,Kepong," Lot G21, Jusco Metro Prima Shopping Centre, No. 1, Jalan Metro Prima, 52100 Kuala Lumpur",03-6259 4469,KHAIRUDIN AMBAK
80,Medan Tuanku," No. 303, Jalan Tuanku Abdul Rahman, 50100 Kuala Lumpur",03-2692 1555,Pn. Marhaizan Binti Mat Jusoh
81,Mon't Kiara," E-01-7A, Block E, Plaza Mon't Kiara, No. 2, Jalan Kiara, 50480 Kuala Lumpur",03-62015385,FAZINI BT SALLEH
82,Pandan Indah," No. 10, Jalan Pandan Indah 1/20, 55100 Kuala Lumpur",03-9274 2428,RUHAIZAN MUHAMAD ZIN
83,Petaling," No. 24 Jalan 1A/133, Taman Sri Sentosa, Off Jalan Kelang Lama, 58200 Kuala Lumpur",03-77829202,Pn. Rohani Binti Mohamad
84,Pos Bergerak WPKL 1," Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pejabat Pos Bergerak Kuala Lumpur 1, sila emel kepada pc.powkl1@pos.com.my atau uopwkl@pos.com.my",018-9092670,En. Rizuwan Bin Omar
85,Pos Bergerak WPKL 3," Untuk sebarang pertanyaan lanjut mengenai jadual lokasi Pejabat Pos Bergerak Kuala Lumpur 3, sila emel kepada pc.powkl3@pos.com.my atau uopwkl@pos.com.my",013-3282495,AHMAD REDHUAN B ABU BAKAR
86,POSLAJU BANDAR BARU BANGI," No. 24, Jalan P10/16, Taman Industri Selaman, 43650 Bandar Baru Bangi",03-8925 5226,Kamaruddin Hj Awang
87,POSLAJU BATU CAVES," No. 31& 33,(Lot B2B-P2-7 & Lot B2B –P2-8),Jalan DBP 1, Dolomite Business Park, 68100 Batu Caves, Selangor.",03 6185 1592,Mohd Tarmizi Bin Ismail
88,POSLAJU CHERAS," No 5 & 7, Jalan 12/91A, Taman Shamelin Perkasa, Batu 3  1/2 Cheras, 56100 Kuala Lumpur",03- 9282 5463,Yusry Effendy B Mohd Yusof
89,POSLAJU KEPONG," No 5 Jalan IDA  1A, Perindustrian Desa Aman, 52200 Kepong,Kuala Lumpur",03 6263 2420,ABDUL RAHMAN HUSAIN
90,POSLAJU KUALA LUMPUR," Jalan Tun Sambanthan ,50470 Kuala Lumpur",03-2263 2626,Mahizan Bt Junos
91,Pudu," 484, Jalan Pudu, 55100 Kuala Lumpur",03-92213014,Pn. Azira Binti Awang
92,Pulapol," Pusat Latihan Polis, Jalan Gurney, 54100 Kuala Lumpur",03-2692 9030,Pn. Nor Azizah Binti Mat Nasir
93,Putra World Trade Centre," Lot 2A, Aras 2, Pusat Konvensyen PWTC, Jalan Tun Ismail, 50480 Kuala Lumpur",03-2693 1555,FAIZAH MUSTAPA KAMAL
94,Salak Selatan," JKR 4260, Jalan Sungai Besi, Salak Selatan, 57100 Kuala Lumpur",03-79834380,Pn. Mazlina Binti Musa
95,Selayang Baru," No. 10D, Jalan Besar Selayang Baru, 68100 Batu Caves",03-6136 1036,MASNITA GATOT
96,Selayang Mall," Lot S.11, 2nd Floor Selayang Mall, Jalan SU 9 Taman Selayang Utama, 68100 Batu Caves",03-6137 0533,ZUHAYNIE BT ABD GHANI
97,Sentul," 688, Jalan Sentul, 51000 Kuala Lumpur",03-40411555,Pn. Azliyati Binti Noraini
98,Setapak," JKR 3499, Jalan Pahang, Setapak, 53000 Kuala Lumpur",03-40233559,SANISAH BINTI HASSAN
99,Sri Petaling," Lot No. F12, Ground Floor, Endah Parade Shopping Mall, No. 1, Jalan 1/149E, Taman Sri Endah, Bandar Baru Sri Petaling, 57000 Kuala Lumpur",03-9057 3507,ZULFAZLI AHAMAD
100,Sungai Wang Plaza," Lot T54-56, T37, Tingkat 3, Sungai Wang Plaza, Jalan Sultan Ismail, 50250 Kuala Lumpur",03-2143 3604,Pn. Noorasyken Binti Hassan
101,Sungei Besi," Jalan Pejabat Pos, Sungai Besi, 57000 Kuala Lumpur",03-90585313,NOOR AMEEZA MOHMAD JOHARI
102,Suria KLCC," Lot C21,-G/H/1, Concourse Expansion Floor Suria KLCC, 50088 Kuala Lumpur",03-21618069,En. Mohd Fadly Bin Amri
103,Taman Connought," Lot 1M, Tingkat Mezzanine, Giant Suppermarket, Taman Connought, 56100 Kuala Lumpur",03-91005479,KASUMAWATI KASIM
104,Taman Kinrara," No. 64, Jalan TK 1/1, Taman Kinrara, Batu 7, Jalan Puchong, 47100 Kuala Lumpur",03-8070 1037,RAMLI BIN HUSSAIN
105,Taman Maluri(Jaya Jusco)," Lot F13A, Jusco Taman Maluri Shopping Centre, Jalan Jejaka, 55100 Kuala Lumpur",03-9285 8282,SITI BAIZULIZA BAHARUDIN
106,Taman Melawati," No. 1 Jalan Bandar 2, Taman Melawati, 53100 Kuala Lumpur",03-4107 3337,AINI AWANG
107,Taman Midah," Lot 40A, First Floor, Tesco Extra Cheras, No. 2, Jalan Midah 2, Taman Midah, 56000 Kuala Lumpur",03-9132 9187,NOR FAZLINA MUSTAFA
108,Taman Seraya," No. 45, Jalan Bunga Tanjung 8B, Taman Seraya, 56100 Kuala Lumpur",03-4293 2934,IZAINEE ISMAIL
109,Taman Setiawangsa," Lot F 41, Tkt. 1, AEON AU 2 Shopping Centre, Jalan Taman Setiawangsa AU2, Taman Keramat, 54200 Kuala Lumpur",03-4257 9013,MASITAH ABD HALIM
110,Taman Sri Gombak," No. 29, Jalan SG 1/6, Taman Seri Gombak, 68100 Batu Caves",03-6187 5258,Pn. Fazidah Binti Dahlan
111,Taman Tun Dr. Ismail," Lot 29395 & 29396, Bangunan Petronas, Jalan Persiaran Zaaba, Taman Tun Dr. Ismail, 60000 Kuala Lumpur",03-7726 4026,ZULKAFLE HARUN
112,Terminal Bersepadu Selatan," Lot L3-24A, 3rd Floor,Terminal Bersepadu Selatan Jalan Terminal, Bandar Tasik Selatan, 57100 Kuala Lumpur",03-90561531,Pn. Siti Robeah Binti Mohamad
113,Tesco Extra Selayang," Lot F6, First Floor, Tesco Extra Selayang, No. 1801, Jalan Ipoh, Mukim Batu, 51200 Kuala Lumpur",03-6252 8654,NAWAL MAT TAHIR
114,TESCO Kepong," Lot SB 11, Kepong Village Mall, No. 3, Jalan 7A/62A, Bandar Manjalara, 52200 Kuala Lumpur",03-62724893,En. Hairulakmal Bin Samsudin
115,Tesco Pandan Prima Ampang," Lot 20, Tesco Ampang, Lot PT 8880, Jalan Pandan Prima, Dataran Pandan Prima, 55100 Kuala Lumpur",03-9283 9241,En. Mohd Marshafarien Bin Minhad
116,Universiti Islam Antrabangsa," Lot C4, Central Complex UIA, Jalan Gombak, 53100 Kuala Lumpur",03-61857901,Pn. Suraya Binti Adnan
117,Universiti Malaya," Kompleks Perdanasiswa, Universiti Malaya, Jalan Lembah Pantai, 59100 Kuala Lumpur",03-7956 7308,SITI SURIA MAT SAAT
118,UTC Pudu," T3-1, Tingkat 3, Pudu Sentral, Lot PT91, Seksyen 56, Jalan Pudu, 55100 Kuala Lumpur",03-2026 1479,ISMAWADI BIN ISMAIL
119,UTC Sentul," T3-04, Mini UTC Sentul, Bandar Baru Sentul, 51000 Kuala Lumpur",03-4040 0468,En. Mohamad Muhairi Bin Ya'Kub
120,Wangsa Maju," Lot F2.17 & F2.18, 2nd FloorAEON Big Shoping Centre,Wangsa Maju",03-4142 4384,ZURINA MISNAN
