,0,1,2,3
0,Aeon Bukit Tinggi," Lot F60, 1st Floor, Aeon Bukit Tinggi Shopping Centre, 41200 Klang",03-3326 2796,ELLIN FARADILLA RAHMAD
1,AEON Rawang," Lot G19, Ground Floor, AEON Anggun Rawang, 48000 Rawang",03-6092 8979,Pn.Emelidya Binti Zainal Ariffin
2,Alamanda," Pejabat Pos AlamandaLot P02 Plaza Level 62000 Alamanda, Putrajaya",03-88891323,Pn. Norizan Binti Hassan
3,AMCORP Mall Jalan Sultan," Lot 232 & 233, Tingkat 2 Amrcorp Mall, No. 18, Persiaran Barat, 46050 Petaling Jaya",03-7956 9868,Pn. Salawati Jahuri
4,Balakong," Lot 9-2, Jalan Taming Permai off Jalan Balakong, 43300 Seri Kembangan",03-8941 3521,Pn. Yusasnita Binti Mohd Yusof
5,Bandar Baru Bangi," JKR, 208 A, Jalan 6C/9, 43650 Bandar Baru Bangi",03-8925 9555,Pn. Dannalia Abdul Halim
6,Bandar Baru Salak Tinggi," Lot 551, Blok H, Kosmoplex Bandar Baru Salak Tinggi, 43900 Sepang",03-8706 8489,Pn. Mahiza Binti Manap
7,Bandar Botanic," No. 3 Jalan Jasmin 5/KS6, Bandar Botanic, 41200 Klang",03-3323 0682,ROHAYU MAHADI
8,Bandar Bukit Puchong," No. 1, Jalan BP 7/13, Bandar Bukit Puchong, 47100 Puchong",03-8063 3744,Pn. Noor Jannah Binti Alias
9,Bandar Seri Putra," No.18 Jalan Seri Putra 1/5, Bandar Seri Putra, 43000 Kajang",03-8926 3834,ROHANI ABDUL RAHMAN
10,Bandar Sunway," Lot LL 3.03, Sunway Pyramid, No. 33 Jalan 11/115, Bandar Sunway, 46150 Petaling Jaya",03-7492 0302,FAREDAH AWANG KECHIK
11,Bandar Tasik Puteri," No. 40-G-A, Jalan 7A/2, Bandar Tasik Puteri, 48020 Rawang",03-6034 1550,Pn. Mastura Binti Kamarulzaman
12,Banting," No. 101 Jalan Bunga, Pekan 2, 42700, Banting",03-3187 1437,Mohd Amin Mohamad Rohamad
13,Batang Kali," Pejabat Pos Batang Kali, No.72G, Jalan Ara 3, Pusat Perdagangan Ara Seksyen 5, 44300 Batang Kali, Selangor.",03-6057 3232,Pn. Suryana Binti Sohor
14,Batu 18 Jalan Semenyih," No. 7, Jalan Seri Baiduri 2, Taman Seri Baiduri, Bandar Teknologi Kajang, 43500 Semenyih.",03-8724 1412,En. Azmil Aminudin
15,Batu 9 Cheras," Jalan Besar, Cheras, 43200 Bt 9 Cheras",03-9075 5555,MOHAMED MOKHTAR MD TAHIR
16,Batu Arang," JKR 1201, Jalan Tenaga, 48100 Batu Arang",03-6035 2250,Pn.Puteri Rohayu Binti Hazan
17,Beranang," JKR 1363A, Jalan Besar, 43700 Beranang",03-8766 7223,Pn. Laila Bin Mohd Razlan
18,Bestari Jaya          (Batang Berjuntai)," Lot No. 16, Jalan Berjuntai 3, Pusat Perniagaan Batang Berjuntai, 45650 Batang Berjuntai",03-3271 9161,Pn. Lily Marlina Binti Boniran
19,Bukit Beruntung," No. D-G 04 Apartment Kenanga, Persiaran Bunga Raya, Taman Bunga Raya, Bkt Beruntung, 48300 Rawang",03-6021 2911,HAMIDI BIN DENAN
20,Bukit Dukung," SSK 6 - SSR 7, Hentian Rehat & Rawat, Bukit Dukung, 43000 Kajang",03-8739 5113,Pn. Rohana Binti Abdul Rahman
21,Bukit Rotan," JKR 136A, Jalan Besar, 45700 Bukit Rotan",03-3289 1171,MOHD FIRDAUS ZAINAL
22,Bukit Tinggi (Tesco)," G12A, No. 3, Jalan Batu Nilam 6/KS6,  TESCO Store, Bandar Bukit Tinggi, 41200 Klang",Tel:03-3323 1436Fax:03-3324 1,MALA A/P NOOKA NAIDU
23,CARREFOUR Klang," Lot 10, Carrefour Shopping Centre, Batu 2 Â½, Jalan Kapar, 41200 Klang",03-3343 3855,ZARINA JAMALUDDIN
24,Cyberjaya," P5-06 Shaftsbury Square,                                                      Persiaran Multimedia Cyber6,63000 Cyberjaya",03-8318 0786,FARIDAH SHAFII
25,Damansara Damai," Lot G/G01, Plaza Suria, Damansara Damai, 47830 Petaling Jaya.",03-6140 3432,SALIZAWATI @ ROSLIN MOHAMAD TAJUDIN
26,Damansara Jaya," 35, Jalan SS 22/19, Damansara Jaya, 47400 Petaling Jaya",03-7728 5491,Pn.Normaznidah Binti Mohd
27,Dengkil," JKR 1164-A, Batu 31, Jalan Banting, 43800 Dengkil",03-8768 6289,Pn. Sharifah Marshitah Binti Syed Ismail
28,EziBox@BHP SS2," BHPetrol SS2, Lot 25685, Jln  SS 2/60,   47300    Petaling Jaya, Selangor.",-,-
29,EziBox@GPO Shah Alam," Persiaran Dato Menteri, Seksyen 12,  Shah Alam, Selangor",-,-
30,EziBox@Menara TM ONE," Level Ground Floor, TM @DAMANSARA, NO 1, Jln  Damansara, Kuala Lumpur",-,-
31,EziBox@Mydin Subang Jaya," Lot No 675 & 676 Persiaran Subang Permai USJ 1, 47500 Subang Jaya Selangor",-,-
32,EziBox@Petron Setia Alam," 2 Jln  Setia Gemilang U13/47, Setia Alam, Seksyen U13, Shah Alam, 40170 Shah Alam, Selangor",-,-
33,EziBox@Petronas Bdr Puncak Jalil," Stesen Minyak Petronas Puncak Jalil Lot 60226 HS (D) 201977, Mukim Petaling, Bandar Puncak Jalil Selangor",-,-
34,EziBox@Petronas Bdr Saujana Putra," Lot 26103, Jln  SP4/31, Bandar Saujana Putra, Bandar Saujana Putra, 42610, Selangor",-,-
35,EziBox@Petronas Bdr Tun Hussein Onn 1," Lot PT 19298 Mukim Cheras, Bandar Tun Hussein Onn 43200 Cheras",-,-
36,EziBox@Petronas Persiaran Apec," Lot PT 29771 HS(D) 17393, Persiaran APEC, Cyber 3, Mukim Dengkil, 63000 Cyberjaya, Selangor",-,-
37,"EziBox@Petronas Putrajaya 1, Presint 9"," Lot PT 1442 HS (M) 668, Presint 9 Mukim Dengkil, Putrajaya 62250, Wilayah Persekutuan (Putrajaya)",-,-
38,EziBox@Petronas Saujana Puchong," Lot PT 16928, HSD 61959 Taman Saujana Puchong, 47100 Puchong",-,-
39,EziBox@Petronas Tmn Bersatu Rawang," Lot PT 10295 HS(M) 5549, Taman Bersatu, Batu 17 1/2, Jln  Rawang, 48000 Rawang, Selangor",-,-
40,EziBox@Petronas Tmn Gasing Indah," Jln  1/132, Gasing Indah, 46000 Petaling Jaya, Selangor",-,-
41,EziBox@Petronas Tmn Medan," Lot PT 3164, Jln  Medan II, Taman Medan Petaling Jaya 46000 Selangor ",-,-
42,EziBox@Petronas  Putra Heights 2," Lot 3612 HS (D) 108483, Putra Height, Subang Jaya petaling jaya 47400 Selangor ",-,-
43,EziBox@Petronas  Tanjung Karang 1," Lot 19797, GM 2038, Mukim Tanjung Karang, 43000 Kuala Selangor, Selangor",-,-
44,EziBox@Petronas Bt 8 Sijangkang," Lot PT 10116, HS(M) 10766, Mukim Telok Panglima Garang, Kuala Langat, 42500, Selangor",-,-
45,EziBox@Petronas Pekan Baru Subang," PN 97868, Lot 50202, Pekan Baru Sungai Buloh, 40150 Selangor",-,-
46,EziBox@Petronas Puncak Alam 1," PT 1933, Persiaran Puncak Alam 1, Bandar Puncak Alam, 42300 Kuala Selangor, Selangor",-,-
47,EziBox@POBdr Baru Bangi," JKR 208A, Jln  6c/9, Taman Persiaran Bangi,  Bandar Baru Bangi, Selangor",-,-
48,EziBox@POCawangan Serahan Bt 9," Jln  Cheras, Cheras, Batu 9 Cheras, Selangor",-,-
49,EziBox@POKajang," Jln  Pantai Baharu, Taman Bukit Pantai, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",-,-
50,EziBox@POKampung Tunku, Kampung Tunku Petaling Jaya Selangor,-,-
51,EziBox@POKelana Jaya," No. 2, Jln  SS 6/2, Ss 6,  Petaling Jaya, Selangor",-,-
52,EziBox@PORawang," JKR 484, Jln  Maxwell, Bandar Baru Rawang, Rawang, Selangor",-,-
