,0,1,2,3
0,Asajaya," Tingkat Bawah, Lot 505, Blok 32, Muara Tuang Land District, 94600 Asajaya",082-828 202,SITI ROHANA  BUJANG
1,Balingian," Pejabat Pos, 96350 Balingian",086-484 267,JIMMY GAIT
2,Baram," Pejabat Pos, 98050 Baram",085-756 476,MOHD RIZAL MATUSIN
3,Batu Kawah," M2-G-3(B) C (M), 107 Ground Floor, Batu Kawah Township, Jalan Batu Kawah, 93250 Kuching",082-453 850,VALENTINE MIDOI
4,Batu Niah," Lot 97, Pasar Batu Niah, 98200 Batu Niah",085-736 736,Pn.Rina Binti Laut
5,Bau," Pejabat Pos, 94000 Bau",082-763 135,ABDUL RAHMAN AMBI
6,Bekenu," Pejabat Pos, 98150 Bekenu",085-719 124,NURUL HUSNA HAMDANI
7,Belaga," Pejabat Pos, 96900 Belaga",086-461 312,Pn. Lavang Sangem
8,Betong," Jalan Muhibbah, 95700 Betong",083-472 117,Pn. Siti Zulaiha Binti Kameri
9,Bintangor," Jalan Court, 96500 Bintangor",084-693 263,Pn. Nek Swee King
10,Bintulu," Batu 1, Jalan Bintulu Miri, 97000 Bintulu",086-331 129 fax: 086-314 820,GEORGE KEBIN
11,Boulevard Miri," Level 3, Boulevard Shopping Complex, Lot 2528, Block 5 MCLD, 98000 Miri",085-424 203,Pn. Norazida Bin Mohamad Ali
12,Dalat," Pejabat Pos, 96300 Dalat",084-864 224,Pn. Irebe Binti Anthony Assam
13,Daro," Pejabat Pos, 96200 Daro",084-823 242,En. Joseph Ak Idau
14,Debak," Pejabat Pos, 95500 Debak",083-464 116,En. Nazarrudin Bin Junaidi
15,Engkilili," No. 80, Pasar Baru, Jalan Marup, 95800 Engkilili",083-563 032,ALICE LIEW HUI PIN
16,EziBox@POLundu," Pejabat Pos Lundu, Pekan Lundu, 94500 Lundu, Sarawak",-,-
17,GPO Kuching," Jalan Tun Abang Hj. Openg, Bangunan Pusat Mel, 93670 Kuching",082-246466082-247 499 (F),SH SAMLIAH WAN ALI
18,Julau," Pejabat Pos, 96600 Julau",084-734 220,En.Sebastian Neely ak Mawang
19,Kabong," Pejabat Pos, 94650 Kabong",083-411 212,Cik. Nur Izyan Binti Abdullah
20,Kanowit," Jalan Access, 96700",084-752 163,En. Ling Liang Kern
21,Kapit," Jalan Airport, 96800 Kapit",084-796 332,En. Michael Fidelis Bin Munin
22,Kenyalang Park," Jalan Wan Abdul Rahman, 93300 Kuching",082-485 321,DOROTHY SUNYAN
23,Kota Samarahan," Ground Floor, Blok 7993, Blok 59, Muara Tuang Land District, 93400 Kota Samarahan",082-450 206,Pn. Sandranita Ak Nyibomb
24,Kota Sentosa," No. 4G, Ground Floor, Blok No. 7 of Lot 640 Blok 17 KCLD, 93250 Kota Sentosa",082-610 155,Cik. Emilia Binti Ahad Zaidi
25,Lawas," Pejabat Pos, 98850 Lawas",085-285 327,JUPRI BUJANG
26,Limbang," Jalan Buangsiol, 98700 Limbang",085-211 410,MALEK SAADI
27,Lingga," Pejabat Pos, 94900 Lingga",0111-844 0237,AHMADI IBRAHIM
28,Long Lama," Pejabat Pos, 98300 Long Lama",014-9900738  019-8555969,En. Thomas Ajeng Ngau
29,Lubok Antu," Pejabat Pos, 95900 Lubok Antu",083-584 129,En. Raymond Ak Mines @ Pinih
30,Lundu," Pejabat Pos, 94500 Lundu",082-735 003,En. Syukari Bin Mohamad
31,Lutong," Jalan Pasar, 98100 Lutong",085-653 730,Pn. Josika Sawai Ak Kilut
